,Mano,Grande,Stddev_grande,Chica,Stddev_chica,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Juego_1,Stddev_juego_1,Juego_2,Stddev_juego_2,Punto,Stddev_punto,Grande_value,Chica_value,Pares_value,Juego_value,Pares_repr,Juego_repr,SampleAppearances,Muestras_total,Muestras_pares_1,Muestras_pares_2,Muestras_juego_1,Muestras_juego_2,Muestras_punto,Samples,Sample_size
294,R 7 7 7 (1),14.2154,2.41394,0.000161095,0.00875625,81.7813,2.67108,80.4997,2.83751,100.0,0.0,100.0,0.0,0.0,0.0,8555.4,5557.6,555.4,3100.4, 7 7 7 X (1), 31 (1),600000,126075506,126075506,117790248,126075506,75769991,0,600000,600000
295,C C C 6 (4),2.42821,1.50902,0.000876869,0.0290042,79.4265,3.96172,78.1922,4.16881,60.5183,4.79117,26.0659,5.91305,0.0,0.0,7774.1,4776.9,777.1,36.1, C C C X (4), 36 (4),600000,63019269,63019269,59452964,63019269,33653361,0,600000,600000
296,R 5 4 4 (2),5.5598,0.645448,2.40942,0.432023,19.3486,1.11362,13.0884,0.986547,0.0,0.0,0.0,0.0,8.15006,1.36257,8322.3,2237.7,22.3,23.3, 4 4 X X (2), 23 (2),600000,756338828,756338828,701859566,514169506,141369063,242169322,600000,600000
297,R R 6 5 (4),75.4846,0.793392,0.0975515,0.0575902,53.9926,0.918969,49.7641,0.962939,75.316,0.794903,58.5846,1.17703,0.0,0.0,8843.1,3487.9,88.1,3100.1, R R X X (4), 31 (4),600000,1764708976,1764708976,1616167723,1764708976,1051784656,0,600000,600000
298,C C 5 5 (4),2.34675,0.985544,0.204527,0.295146,92.0071,1.76856,91.5023,1.87529,0.0,0.0,0.0,0.0,86.3437,3.55203,7733.1,3376.9,7733.1,30.1, C C 5 5 (4), 30 (4),600000,141792499,141792499,133369260,85293395,18619770,56499104,600000,600000
299,S S 7 5 (1),0.215199,0.184621,0.0768419,0.110332,31.9877,1.8599,27.4711,1.83791,75.8791,1.70368,58.6601,2.5699,0.0,0.0,6653.4,3565.6,66.4,320.4, S S X X (1), 32 (1),600000,378166305,378166305,354616348,378166305,220652550,0,600000,600000
300,R C S 6 (3),52.5027,0.862536,0.00161031,0.00692337,0.0,0.0,0.0,0.0,61.6798,0.837465,28.2411,1.0621,0.0,0.0,8764.2,4677.8,0.2,36.2, X X X X (3), 36 (3),600000,2016834437,1864947392,1228385431,2016834437,1077017423,0,600000,600000
301,R R R 6 (4),99.2103,0.23092,0.00049178,0.00579258,88.3887,0.836176,87.2282,0.913579,60.5187,1.27501,26.0648,1.56742,0.0,0.0,8884.1,4887.9,888.1,36.1, R R R X (4), 36 (4),600000,882355763,882355763,802181754,882355763,471177393,0,600000,600000
302,C 4 4 4 (4),0.454932,0.660392,2.43048,1.51083,77.1514,4.11519,75.7796,4.32406,0.0,0.0,0.0,0.0,1.51999,2.18339,7222.1,2226.9,222.1,22.1, 4 4 4 X (4), 22 (4),600000,63027142,63027142,59457143,43543712,12359280,19483430,600000,600000
303,7 7 7 5 (3),0.00994331,0.0978177,0.0819672,0.280581,78.3529,4.03729,77.0538,4.24462,0.0,0.0,0.0,0.0,28.6666,7.66173,5553.2,3554.8,555.2,26.2, 7 7 7 X (3), 26 (3),600000,63024956,63024956,59456165,41554643,10712089,21470313,600000,600000
304,R 5 5 4 (4),5.73026,0.655336,2.07767,0.401686,21.0225,1.14927,14.8913,1.04306,0.0,0.0,0.0,0.0,9.25172,1.41808,8332.1,2337.9,33.1,24.1, 5 5 X X (4), 24 (4),600000,756296423,756296423,701813184,505673914,134585553,250622509,600000,600000
305,R R R C (3),99.8725,0.0930951,0.0,0.0,88.8754,0.819897,87.7633,0.89639,73.1865,1.15568,44.0364,1.87362,0.0,0.0,8887.2,7887.8,888.2,40.2, R R R X (3), 40 (3),600000,882322768,882322768,802134294,882322768,422742427,0,600000,600000
306,S 7 6 5 (2),0.163815,0.0987269,0.163891,0.0985513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5048,1.87756,6543.3,3455.7,0.3,28.3, X X X X (2), 28 (2),600000,1008457066,942697825,639923909,640724281,154401600,367732785,600000,600000
307,R R 6 4 (1),75.2775,0.794648,0.88486,0.17262,76.8815,0.777858,74.7567,0.837477,0.0,0.0,0.0,0.0,100.0,0.0,8842.4,2487.6,88.4,30.4, R R X X (1), 30 (1),600000,1764779069,1764779069,1616232005,1066472036,234775956,698307033,600000,600000
308,C 7 5 5 (1),1.03943,0.403929,0.210649,0.182524,21.5028,1.64022,16.2913,1.52201,0.0,0.0,0.0,0.0,54.4743,3.3155,7533.4,3356.6,33.4,27.4, 5 5 X X (1), 27 (1),600000,378189282,378189282,354644000,242531996,59503923,135657286,600000,600000
309,R R R 5 (1),99.1599,0.237604,0.0241645,0.0405955,89.8514,0.786188,88.8369,0.859972,59.6755,1.27996,25.579,1.54829,0.0,0.0,8883.4,3887.6,888.4,35.4, R R R X (1), 35 (1),600000,882397697,882397697,802201695,882397697,478121610,0,600000,600000
310,7 6 6 5 (4),0.0072779,0.0340059,0.175975,0.167369,23.0379,1.67744,17.9273,1.5774,0.0,0.0,0.0,0.0,10.2019,2.1546,5443.1,3444.9,44.1,24.1, 6 6 X X (4), 24 (4),600000,378177593,378177593,354628453,259173308,72211565,119004285,600000,600000
311,5 5 5 4 (2),0.0,0.0,2.10122,1.40501,77.2791,4.10545,75.9154,4.31571,0.0,0.0,0.0,0.0,0.447122,1.25101,3332.3,2332.7,333.3,19.3, 5 5 5 X (2), 19 (2),600000,63017822,63017822,59450263,45341521,13981835,17676301,600000,600000
312,S S S S (2),0.218261,2.02869,0.0,0.0,90.0962,12.8905,89.5872,13.5893,73.9783,18.9414,45.6211,32.1248,0.0,0.0,6666.3,6665.7,6666.3,40.3, S S S S (2), 40 (2),599182,3937820,3937820,3744517,3937820,1884032,0,600000,600000
313,C C 6 4 (3),2.36287,0.606177,0.943265,0.385185,37.5333,1.93256,33.3853,1.94332,0.0,0.0,0.0,0.0,91.9728,1.72403,7742.2,2476.8,77.2,30.2, C C X X (3), 30 (3),600000,378158297,378158297,354610503,228517303,50302144,149640994,600000,600000
314,6 5 4 4 (1),7.07567e-05,0.00334996,2.42919,0.613375,17.4228,1.5122,11.9403,1.33456,0.0,0.0,0.0,0.0,0.58858,0.583085,4322.4,2233.6,22.4,19.4, 4 4 X X (1), 19 (1),600000,378152676,378152676,354609314,274241514,86006988,103911162,600000,600000
315,6 6 6 4 (2),0.000144906,0.0118382,1.21678,1.07619,77.8068,4.08084,76.4754,4.28935,0.0,0.0,0.0,0.0,4.38664,3.72138,4442.3,2443.7,444.3,22.3, 6 6 6 X (2), 22 (2),600000,63016402,63016402,59449663,44227135,12940371,18789267,600000,600000
316,S 6 5 5 (3),0.0764689,0.110079,0.214498,0.184436,20.9924,1.62463,15.7443,1.49906,0.0,0.0,0.0,0.0,29.062,3.08829,6433.2,3345.8,33.2,26.2, 5 5 X X (3), 26 (3),600000,378172856,378172856,354617306,247430313,63122365,130742543,600000,600000
317,R 5 5 A (1),5.72486,0.462849,26.8526,0.881997,22.5596,0.831721,15.5565,0.754405,0.0,0.0,0.0,0.0,1.56218,0.436683,8331.4,1337.6,33.4,21.4, 5 5 X X (1), 21 (1),600000,1512607127,1512607127,1387163910,1028251316,282833019,484355811,600000,600000
318,R C 5 4 (2),37.4544,0.835411,1.47351,0.207552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2262,1.01138,8732.3,2377.7,0.3,29.3, X X X X (2), 29 (2),600000,2016762206,1864855298,1228338049,1235292695,278721443,781469511,600000,600000
319,5 4 4 4 (3),0.0,0.0,2.43077,1.51189,77.1491,4.11571,75.778,4.32504,0.0,0.0,0.0,0.0,0.020279,0.279158,3222.2,2222.8,222.2,17.2, 4 4 4 X (3), 17 (3),600000,63032119,63032119,59464285,46782158,15410880,16249961,600000,600000
320,R C C 5 (2),55.7502,1.39765,0.0287353,0.0477503,45.4972,1.40296,41.2662,1.44078,58.5252,1.38707,23.4524,1.62315,0.0,0.0,8773.3,3777.7,77.3,35.3, C C X X (2), 35 (2),600000,756325111,756325111,701841544,756325111,409789289,0,600000,600000
321,A A A A (1),0.0,0.0,100.0,0.0,90.1232,1.39306,89.0915,1.52996,0.0,0.0,0.0,0.0,0.0,0.0,1111.4,1110.6,1111.4,4.4, A A A A (1), 4 (1),600000,275752131,275752131,249673896,218685571,83812452,57066560,600000,600000
322,C S 5 4 (4),1.592,0.305464,1.59318,0.305346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9799,1.62581,7632.1,2366.9,0.1,29.1, X X X X (4), 29 (4),600000,1008457996,942706633,639941012,617703119,139385676,390754877,600000,600000
323,7 7 4 A (2),0.009316,0.0271637,41.8188,1.38823,27.1015,1.25085,21.4428,1.20003,0.0,0.0,0.0,0.0,0.299987,0.286262,5521.3,1254.7,55.3,19.3, 7 7 X X (2), 19 (2),600000,756283964,756283964,701806053,536319547,160430612,219964417,600000,600000
324,R R 7 7 (2),81.7889,1.16158,0.000123612,0.0033512,98.9825,0.301853,98.8934,0.328167,49.8307,1.5077,10.8751,1.25042,0.0,0.0,8855.3,5587.7,8855.3,34.3, R R 7 7 (2), 34 (2),600000,661844203,661844203,608505666,661844203,372559090,0,600000,600000
325,4 4 4 A (1),0.0,0.0,56.0804,3.43143,77.6318,2.88367,76.0589,3.05507,0.0,0.0,0.0,0.0,0.000137956,0.016629,2221.4,1221.6,222.4,13.4, 4 4 4 X (1), 13 (1),600000,126073897,126073897,117790793,96244039,33743819,29829858,600000,600000
326,R 4 4 A (2),4.5831,0.416733,55.5162,0.989158,18.0413,0.767225,10.6292,0.641313,0.0,0.0,0.0,0.0,0.281921,0.193152,8221.3,1227.7,22.3,19.3, 4 4 X X (2), 19 (2),600000,1512695547,1512695547,1387237732,1061031968,310860880,451663579,600000,600000
327,S 7 A A (1),0.103461,0.0593812,76.1064,0.786448,14.881,0.655384,7.0567,0.492172,0.0,0.0,0.0,0.0,0.261815,0.167179,6511.4,1155.6,11.4,19.4, A A X X (1), 19 (1),600000,1764748204,1764748204,1616186328,1202400178,332259626,562348026,600000,600000
328,R S 4 4 (3),18.2023,1.08732,2.33663,0.425117,19.1088,1.10785,12.83,0.978334,0.0,0.0,0.0,0.0,61.3172,2.23808,8622.2,2267.8,22.2,28.2, 4 4 X X (3), 28 (3),600000,756314227,756314227,701837452,471411703,109860310,284902524,600000,600000
329,R C 6 4 (4),40.2685,0.845179,0.8967,0.162959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1567,0.886276,8742.1,2477.9,0.1,30.1, X X X X (4), 30 (4),600000,2016876357,1864965894,1228443588,1218821738,268302442,798054619,600000,600000
330,S 7 7 4 (1),0.175041,0.166653,0.771256,0.348541,29.0215,1.81125,24.3085,1.76542,0.0,0.0,0.0,0.0,75.1923,2.84886,6552.4,2555.6,55.4,28.4, 7 7 X X (1), 28 (1),600000,378150425,378150425,354604240,240079101,57772507,138071324,600000,600000
331,C C 7 7 (4),2.39754,0.997546,0.000130537,0.00744675,92.059,1.76044,91.5572,1.86697,46.1683,3.25142,4.35241,1.77372,0.0,0.0,7755.1,5576.9,7755.1,34.1, C C 7 7 (4), 34 (4),600000,141807508,141807508,133380917,141807508,79811174,0,600000,600000
332,R S S 5 (3),26.9413,1.25077,0.0430966,0.0585464,37.84,1.36934,33.0149,1.37844,57.3762,1.39403,21.3386,1.56899,0.0,0.0,8663.2,3667.8,66.2,35.2, S S X X (3), 35 (3),600000,756289131,756289131,701811740,756289131,409806748,0,600000,600000
333,7 6 A A (3),0.00311321,0.0102903,81.1714,0.720223,10.3396,0.562341,2.09789,0.276262,0.0,0.0,0.0,0.0,0.00058174,0.0085157,5411.2,1144.8,11.2,15.2, A A X X (3), 15 (3),600000,1764800347,1764800347,1616233321,1282908129,404331959,481892218,600000,600000
334,6 6 4 A (4),0.000126629,0.00316935,47.1104,1.40889,21.6314,1.16032,15.548,1.06008,0.0,0.0,0.0,0.0,0.0141604,0.0644595,4421.1,1243.9,44.1,17.1, 6 6 X X (4), 17 (4),600000,756358949,756358949,701874742,550683033,174151154,205675916,600000,600000
335,R R S 7 (4),87.7463,0.604758,1.58111e-05,0.000733177,53.9907,0.92012,49.7625,0.964526,65.6839,0.875127,34.2842,1.21165,0.0,0.0,8865.1,5687.9,88.1,37.1, R R X X (4), 37 (4),600000,1764719673,1764719673,1616194743,1764719673,921517397,0,600000,600000
336,R A A A (3),4.16396,0.368929,98.5145,0.222969,81.4148,0.717599,79.261,0.790047,0.0,0.0,0.0,0.0,0.0,0.0,8111.2,1117.8,111.2,13.2, A A A X (3), 13 (3),600000,1764764434,1764764434,1581485583,1274189478,396540067,490574956,600000,600000
337,S 6 6 4 (2),0.0807083,0.113225,1.21091,0.435385,23.5946,1.6934,18.5221,1.59999,0.0,0.0,0.0,0.0,33.061,3.19382,6442.3,2445.7,44.3,26.3, 6 6 X X (2), 26 (2),600000,378203912,378203912,354658483,247444152,63119300,130759760,600000,600000
338,C C 7 A (2),2.38079,0.429634,7.11483,0.72512,39.3543,1.37752,34.6467,1.39245,0.0,0.0,0.0,0.0,65.3331,2.13252,7751.3,1576.7,77.3,28.3, C C X X (2), 28 (2),600000,756304783,756304783,701826618,456090504,99996578,300214279,600000,600000
339,R C 6 A (1),40.0731,0.596864,10.5415,0.374124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0023,0.982044,8741.4,1477.6,0.4,27.4, X X X X (1), 27 (1),600000,4033709801,3684406761,2352293779,2481597008,564535759,1552112793,600000,600000
340,C 6 5 4 (1),0.74143,0.209312,1.95171,0.337402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4181,1.78044,7432.4,2346.6,0.4,25.4, X X X X (1), 25 (1),600000,1008438178,942660993,639910969,668483608,174975755,339954570,600000,600000
341,S S 7 A (4),0.212287,0.129958,8.069,0.767884,32.0883,1.315,26.8154,1.29623,0.0,0.0,0.0,0.0,53.2575,2.23303,6651.1,1565.9,66.1,28.1, S S X X (4), 28 (4),600000,756344321,756344321,701850693,456117030,99992149,300227291,600000,600000
342,C S 6 A (3),1.68314,0.221454,11.6205,0.552747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4888,1.36489,7641.2,1466.8,0.2,27.2, X X X X (3), 27 (3),600000,2016791002,1864867894,1228355577,1240771405,282263177,776019597,600000,600000
343,S 5 5 4 (3),0.0434939,0.083053,2.09163,0.570225,18.9706,1.56489,13.5914,1.41095,0.0,0.0,0.0,0.0,10.521,2.12701,6332.2,2335.8,33.2,24.2, 5 5 X X (3), 24 (3),600000,378147539,378147539,354606418,252829419,67306139,125318120,600000,600000
344,6 4 4 A (1),8.06691e-06,0.00080022,55.9824,1.39695,16.2276,1.03839,9.72541,0.865867,0.0,0.0,0.0,0.0,0.00192856,0.0245236,4221.4,1223.6,22.4,15.4, 4 4 X X (1), 15 (1),600000,756304175,756304175,701829639,563259228,187049612,193044947,600000,600000
345,R R S 6 (1),87.5293,0.608224,0.00135343,0.00678908,76.8834,0.776036,74.7584,0.83592,64.0298,0.883931,32.6433,1.18373,0.0,0.0,8864.4,4687.6,88.4,36.4, R R X X (1), 36 (1),600000,1764757636,1764757636,1616192482,1764757636,942426872,0,600000,600000
346,C 7 7 7 (1),1.21398,1.0727,0.000125089,0.0110157,78.755,4.00876,77.48,4.21726,100.0,0.0,100.0,0.0,0.0,0.0,7555.4,5556.6,555.4,3100.4, 7 7 7 X (1), 31 (1),600000,63025205,63025205,59457507,63025205,37884082,0,600000,600000
347,R S 5 A (2),19.1632,0.479893,19.1626,0.479023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4057,0.905535,8631.3,1367.7,0.3,26.3, X X X X (2), 26 (2),600000,4033663002,3684389904,2352311339,2513952927,585942539,1519710075,600000,600000
348,C 5 4 4 (2),0.537556,0.291834,2.41504,0.611889,17.2094,1.50578,11.7133,1.32516,0.0,0.0,0.0,0.0,8.15166,1.92972,7322.3,2236.7,22.3,23.3, 4 4 X X (2), 23 (2),600000,378122359,378122359,354583042,257047299,70681660,121075060,600000,600000
349,C C S 6 (3),2.42185,0.612677,0.00202049,0.0179382,37.5321,1.93201,33.3849,1.94318,61.6815,1.93721,28.243,2.45618,0.0,0.0,7764.2,4676.8,77.2,36.2, C C X X (3), 36 (3),600000,378153477,378153477,354611159,378153477,201935716,0,600000,600000
350,C 7 5 A (4),0.964781,0.168585,21.5925,0.709597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65631,0.685726,7531.1,1356.9,0.1,23.1, X X X X (4), 23 (4),600000,2016942563,1865012445,1228495242,1334624354,348040537,682318209,600000,600000
351,S 4 4 4 (4),0.0284847,0.1654,2.42678,1.50863,77.1488,4.11334,75.7765,4.32311,0.0,0.0,0.0,0.0,1.52335,2.18458,6222.1,2225.9,222.1,22.1, 4 4 4 X (4), 22 (4),600000,63017482,63017482,59447592,43531487,12359368,19485995,600000,600000
352,R C 7 6 (2),46.7612,0.860361,0.00419516,0.0111658,0.0,0.0,0.0,0.0,44.3036,0.856893,3.12778,0.396103,0.0,0.0,8754.3,4577.7,0.3,33.3, X X X X (2), 33 (2),600000,2016833996,1864916265,1228391514,2016833996,1159573404,0,600000,600000
353,R 7 4 A (3),10.175,0.368577,39.167,0.594141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47533,0.331658,8521.2,1257.8,0.2,22.2, X X X X (3), 22 (3),600000,4033705431,3684410133,2352335943,2714745046,731992439,1318960385,600000,600000
354,R S 6 A (4),20.6022,0.492695,10.885,0.380041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2776,0.945265,8641.1,1467.9,0.1,27.1, X X X X (4), 27 (4),600000,4033648564,3684341816,2352250329,2481475131,564508085,1552173433,600000,600000
355,7 4 4 A (2),0.000878637,0.00835345,55.8536,1.40079,16.0212,1.03292,9.50305,0.857588,0.0,0.0,0.0,0.0,0.00573594,0.0417008,5221.3,1224.7,22.3,16.3, 4 4 X X (2), 16 (2),600000,756321585,756321585,701846228,558292145,181835531,198029440,600000,600000
356,C S 7 6 (4),1.9968,0.34154,0.00610924,0.0190701,0.0,0.0,0.0,0.0,42.5063,1.20591,0.0,0.0,0.0,0.0,7654.1,4566.9,0.1,33.1, X X X X (4), 33 (4),600000,1008431577,942668391,639863035,1008431577,579784845,0,600000,600000
357,7 7 6 5 (2),0.0100627,0.0399916,0.166601,0.162371,26.1395,1.7516,21.2361,1.68351,0.0,0.0,0.0,0.0,20.1346,2.79743,5543.3,3454.7,55.3,25.3, 7 7 X X (2), 25 (2),600000,378152594,378152594,354611082,254235165,68136751,123917429,600000,600000
358,R R C C (2),96.845,0.526667,0.0,0.0,99.8982,0.0961363,99.8892,0.104567,73.9347,1.3215,45.5939,2.16665,0.0,0.0,8877.3,7787.7,8877.3,40.3, R R C C (2), 40 (2),600000,661800840,661800840,608469818,661800840,317060725,0,600000,600000
359,R S 6 6 (3),22.5738,1.1791,0.00952268,0.0274929,28.5835,1.27119,23.0394,1.23023,71.3271,1.27485,51.2062,1.83999,0.0,0.0,8644.2,4467.8,44.2,320.2, 6 6 X X (3), 32 (3),600000,756344715,756344715,701859438,756344715,444453769,0,600000,600000
360,R C S 6 (4),52.2778,0.85902,0.0014696,0.00660694,0.0,0.0,0.0,0.0,60.5165,0.843809,26.0658,1.03593,0.0,0.0,8764.1,4677.9,0.1,36.1, X X X X (4), 36 (4),600000,2016868616,1864968161,1228440837,2016868616,1077080043,0,600000,600000
361,S 7 5 5 (1),0.136483,0.147242,0.211321,0.183052,21.5048,1.64071,16.2917,1.52386,0.0,0.0,0.0,0.0,54.4824,3.3216,6533.4,3355.6,33.4,27.4, 5 5 X X (1), 27 (1),600000,378134126,378134126,354584857,242504613,59497307,135629513,600000,600000
362,6 6 6 5 (4),0.000147544,0.0118348,0.176336,0.411357,77.8148,4.0679,76.4844,4.2755,0.0,0.0,0.0,0.0,7.31455,4.70651,4443.1,3443.9,444.1,23.1, 6 6 6 X (4), 23 (4),600000,63024627,63024627,59458593,44044982,12768640,18979645,600000,600000
363,C C C C (4),2.40671,6.61831,0.0,0.0,91.5323,12.0211,91.0977,12.6627,72.4074,19.2981,42.4568,31.843,0.0,0.0,7777.1,7776.9,7777.1,40.1, C C C C (4), 40 (4),599132,3938666,3938666,3745370,3938666,1888102,0,600000,600000
364,7 6 5 5 (3),0.00659891,0.0323662,0.215438,0.185032,20.9896,1.62535,15.7449,1.50101,0.0,0.0,0.0,0.0,8.01883,1.94823,5433.2,3344.8,33.2,23.2, 5 5 X X (3), 23 (3),600000,378232422,378232422,354688433,261539847,74235179,116692575,600000,600000
365,5 5 4 4 (1),0.0,0.0,2.43034,1.00499,87.6716,2.14258,86.8923,2.26833,0.0,0.0,0.0,0.0,0.206269,0.573689,3322.4,2232.6,3322.4,18.4, 5 5 4 4 (1), 18 (1),600000,141811758,141811758,133380465,103659272,33044221,38152486,600000,600000
366,C 5 5 A (1),0.551978,0.2091,26.9132,1.24784,20.1481,1.1304,13.9499,1.01271,0.0,0.0,0.0,0.0,1.56254,0.617539,7331.4,1336.6,33.4,21.4, 5 5 X X (1), 21 (1),600000,756309368,756309368,701833036,514124194,141407972,242185174,600000,600000
367,R R R C (4),99.822,0.110024,0.0,0.0,88.3892,0.836338,87.2283,0.914,72.4418,1.1653,42.4797,1.86108,0.0,0.0,8887.1,7887.9,888.1,40.1, R R R X (4), 40 (4),600000,882347100,882347100,802149623,882347100,422735267,0,600000,600000
368,C C 5 4 (2),2.34481,0.602986,1.50067,0.484483,37.9326,1.93199,33.8107,1.94613,0.0,0.0,0.0,0.0,84.2257,2.33889,7732.3,2376.7,77.3,29.3, C C X X (2), 29 (2),600000,378172309,378172309,354621773,231630266,52270827,146542043,600000,600000
369,C C C 5 (2),2.42962,1.5106,0.0291969,0.167696,79.4313,3.95891,78.1979,4.16446,58.5135,4.83188,23.442,5.67162,0.0,0.0,7773.3,3776.7,777.3,35.3, C C C X (2), 35 (2),600000,63024601,63024601,59458672,63024601,34153194,0,600000,600000
370,4 4 4 4 (3),0.0,0.0,2.42255,6.6354,85.9146,15.0172,85.1859,15.8092,0.0,0.0,0.0,0.0,0.0042147,0.514526,2222.2,2221.8,2222.2,16.2, 4 4 4 4 (3), 16 (3),599123,3936360,3936360,3742984,2965234,1008205,971126,600000,600000
371,R C 4 4 (1),34.9867,1.34319,2.33042,0.424901,19.5863,1.11827,13.3456,0.995251,0.0,0.0,0.0,0.0,78.4319,1.88865,8722.4,2277.6,22.4,28.4, 4 4 X X (1), 28 (1),600000,756338743,756338743,701868887,471394929,109859491,284943814,600000,600000
372,S S 5 4 (4),0.207123,0.181177,1.62158,0.503276,30.9378,1.84311,26.3526,1.8136,0.0,0.0,0.0,0.0,77.9816,2.65768,6632.1,2365.9,66.1,29.1, S S X X (4), 29 (4),600000,378123227,378123227,354581479,231605955,52253481,146517272,600000,600000
373,R C S 5 (1),52.0555,0.862911,0.040598,0.0347618,0.0,0.0,0.0,0.0,59.6744,0.845474,25.5766,1.02363,0.0,0.0,8763.4,3677.6,0.4,35.4, X X X X (1), 35 (1),600000,2016918170,1864997522,1228447819,2016918170,1092845345,0,600000,600000
374,C 4 4 A (2),0.453776,0.189385,55.6498,1.39872,16.0211,1.03512,9.50174,0.859989,0.0,0.0,0.0,0.0,0.282486,0.274062,7221.3,1226.7,22.3,19.3, 4 4 X X (2), 19 (2),600000,756358750,756358750,701871953,530518423,155436709,225840327,600000,600000
375,7 7 A A (1),0.00917085,0.0288468,76.3145,1.28095,90.9827,0.862479,90.1921,0.934123,0.0,0.0,0.0,0.0,0.00944263,0.0549138,5511.4,1154.6,5511.4,16.4, 7 7 A A (1), 16 (1),600000,661795531,661795531,608451088,473202892,143994969,188592639,600000,600000
376,C S 4 4 (3),1.49898,0.484446,2.3443,0.603284,16.9904,1.49899,11.4796,1.31477,0.0,0.0,0.0,0.0,61.3224,3.17174,7622.2,2266.8,22.2,28.2, 4 4 X X (3), 28 (3),600000,378156924,378156924,354614759,235707168,54934176,142449756,600000,600000
377,6 5 4 4 (2),6.94084e-05,0.0033233,2.42818,0.614082,17.2088,1.50415,11.7137,1.32301,0.0,0.0,0.0,0.0,0.427626,0.497457,4322.3,2233.7,22.3,19.3, 4 4 X X (2), 19 (2),600000,378158728,378158728,354621614,274248213,86009361,103910515,600000,600000
378,C S S 5 (3),2.09079,0.570455,0.043507,0.0833345,34.1935,1.89135,29.8246,1.88239,57.3799,1.97281,21.3373,2.22127,0.0,0.0,7663.2,3666.8,66.2,35.2, S S X X (3), 35 (3),600000,378122626,378122626,354581457,378122626,204870034,0,600000,600000
379,R 4 A A (1),4.49199,0.269934,92.1184,0.351708,16.7848,0.486651,7.90162,0.370001,0.0,0.0,0.0,0.0,0.00551546,0.0180357,8211.4,1127.6,11.4,16.4, A A X X (1), 16 (1),600000,3529342603,3529342603,3188926069,2512312077,758922568,1017030526,600000,600000
380,7 7 7 4 (1),0.0102033,0.098956,0.77189,0.859038,78.3479,4.03239,77.0501,4.24036,0.0,0.0,0.0,0.0,21.9037,7.14603,5552.4,2554.6,555.4,25.4, 7 7 7 X (1), 25 (1),600000,63033500,63033500,59469768,42380302,11359008,20653198,600000,600000
381,6 6 A A (3),0.000131582,0.00346124,81.765,1.16275,90.1673,0.898805,89.3053,0.972928,0.0,0.0,0.0,0.0,0.000115723,0.00638492,4411.2,1143.8,4411.2,14.2, 6 6 A A (3), 14 (3),600000,661809494,661809494,608465226,489283259,159873385,172526235,600000,600000
382,R R R S (1),99.7706,0.124805,0.0,0.0,89.852,0.787457,88.8378,0.861176,74.683,1.13332,47.1618,1.88156,0.0,0.0,8886.4,6887.6,888.4,40.4, R R R X (1), 40 (1),600000,882437654,882437654,802257429,882437654,422813100,0,600000,600000
383,R S 7 5 (2),25.2481,0.750273,0.0698542,0.0455593,0.0,0.0,0.0,0.0,73.9222,0.756792,55.309,1.12203,0.0,0.0,8653.3,3567.7,0.3,320.3, X X X X (2), 32 (2),600000,2016834577,1864931208,1228402661,2016834577,1176850738,0,600000,600000
384,C A A A (3),0.416991,0.168133,98.8537,0.277887,78.6261,1.06908,76.4895,1.16027,0.0,0.0,0.0,0.0,0.0,0.0,7111.2,1116.8,111.2,13.2, A A A X (3), 13 (3),600000,882364706,882364706,802175571,637096260,198270330,245268446,600000,600000
385,7 6 6 4 (2),0.00737184,0.0342729,1.21428,0.436332,23.5961,1.68923,18.5225,1.59625,0.0,0.0,0.0,0.0,9.01336,2.05891,5442.3,2444.7,44.3,23.3, 6 6 X X (2), 23 (2),600000,378143938,378143938,354597238,261470331,74210140,116673607,600000,600000
386,C 7 7 5 (4),1.20953,0.435726,0.0802013,0.112784,28.0476,1.78753,23.2688,1.73596,0.0,0.0,0.0,0.0,74.9082,2.81784,7553.1,3556.9,55.1,29.1, 7 7 X X (4), 29 (4),600000,378177511,378177511,354624369,235520374,54635564,142657137,600000,600000
387,R C C S (2),56.0561,1.39943,0.0,0.0,45.4949,1.40342,41.263,1.44071,73.9314,1.23549,45.5917,2.02658,0.0,0.0,8776.3,6777.7,77.3,40.3, C C X X (2), 40 (2),600000,756348375,756348375,701855189,756348375,362388925,0,600000,600000
388,R S 4 4 (4),18.1944,1.08724,2.33476,0.425834,18.8693,1.10405,12.5727,0.970404,0.0,0.0,0.0,0.0,53.9639,2.28995,8622.1,2267.9,22.1,28.1, 4 4 X X (4), 28 (4),600000,756313741,756313741,701842321,471398556,109857334,284915185,600000,600000
