,Mano,Chica,Stddev_chica,Chica_value
321,A A A A (1),100.0,0.0,1110.6
494,A A A A (2),99.9983,0.0191353,1110.7
557,A A A A (3),99.9966,0.0271473,1110.8
851,A A A A (4),99.995,0.0331305,1110.9
162,4 A A A (1),99.9745,0.0416059,1111.6
447,4 A A A (2),99.9236,0.0720487,1111.7
630,4 A A A (3),99.8728,0.0931282,1111.8
803,4 A A A (4),99.822,0.109781,1111.9
226,5 A A A (1),99.7708,0.124718,1112.6
402,5 A A A (2),99.72,0.137752,1112.7
581,5 A A A (3),99.669,0.149917,1112.8
754,5 A A A (4),99.6177,0.160836,1112.9
178,6 A A A (1),99.5671,0.171481,1113.6
238,6 A A A (2),99.5163,0.180855,1113.7
522,6 A A A (3),99.4653,0.190182,1113.8
700,6 A A A (4),99.414,0.199256,1113.9
130,7 A A A (1),99.3638,0.207329,1114.6
192,7 A A A (2),99.3126,0.215882,1114.7
474,7 A A A (3),99.2617,0.223002,1114.8
657,7 A A A (4),99.2107,0.230858,1114.9
82,S A A A (1),99.1595,0.238678,1115.6
253,S A A A (2),99.1087,0.245121,1115.7
428,S A A A (3),99.0581,0.251558,1115.8
609,S A A A (4),99.0067,0.258655,1115.9
33,C A A A (1),98.9554,0.26468,1116.6
209,C A A A (2),98.9047,0.271017,1116.7
384,C A A A (3),98.8537,0.277887,1116.8
556,C A A A (4),98.8025,0.283648,1116.9
1313,R A A A (1),98.7525,0.204781,1117.6
163,R A A A (2),98.6331,0.214044,1117.7
336,R A A A (3),98.5145,0.222969,1117.8
505,R A A A (4),98.3962,0.231698,1117.9
547,4 4 A A (1),96.8704,0.524557,1121.6
847,4 4 A A (2),96.8443,0.525881,1121.7
1018,4 4 A A (3),96.8199,0.528544,1121.8
1188,4 4 A A (4),96.7936,0.530759,1121.9
623,5 4 A A (1),96.6429,0.331814,1122.6
797,5 4 A A (2),96.4146,0.342913,1122.7
969,5 4 A A (3),96.1871,0.353217,1122.8
1143,5 4 A A (4),95.96,0.36348,1122.9
575,6 4 A A (1),95.7321,0.372221,1123.6
637,6 4 A A (2),95.5057,0.382451,1123.7
924,6 4 A A (3),95.2778,0.391337,1123.8
1100,6 4 A A (4),95.0518,0.399476,1123.9
519,7 4 A A (1),94.8261,0.408018,1124.6
588,7 4 A A (2),94.5999,0.417116,1124.7
879,7 4 A A (3),94.3734,0.425646,1124.8
1054,7 4 A A (4),94.1466,0.432615,1124.9
470,S 4 A A (1),93.9202,0.439953,1125.6
655,S 4 A A (2),93.695,0.449048,1125.7
832,S 4 A A (3),93.4683,0.455306,1125.8
1003,S 4 A A (4),93.2436,0.462596,1125.9
426,C 4 A A (1),93.0187,0.469795,1126.6
605,C 4 A A (2),92.7922,0.476393,1126.7
776,C 4 A A (3),92.5671,0.483621,1126.8
949,C 4 A A (4),92.3429,0.489931,1126.9
379,R 4 A A (1),92.1184,0.351708,1127.6
549,R 4 A A (2),91.5946,0.361764,1127.7
728,R 4 A A (3),91.0724,0.372197,1127.8
788,R 4 A A (4),90.5486,0.381065,1127.9
1014,5 5 A A (1),88.6274,0.956869,1132.6
1184,5 5 A A (2),88.6006,0.955181,1132.7
34,5 5 A A (3),88.5795,0.958836,1132.8
210,5 5 A A (4),88.5543,0.958543,1132.9
963,6 5 A A (1),88.4061,0.589912,1133.6
1026,6 5 A A (2),88.1861,0.594711,1133.7
1315,6 5 A A (3),87.9682,0.600027,1133.8
167,6 5 A A (4),87.7474,0.604504,1133.9
919,7 5 A A (1),87.5296,0.608834,1134.6
1094,7 5 A A (2),87.3082,0.613774,1134.7
1268,7 5 A A (3),87.0907,0.618818,1134.8
113,7 5 A A (4),86.8721,0.623789,1134.9
873,S 5 A A (1),86.6524,0.627382,1135.6
1049,S 5 A A (2),86.4335,0.632082,1135.7
1220,S 5 A A (3),86.215,0.636222,1135.8
66,S 5 A A (4),85.9968,0.640852,1135.9
827,C 5 A A (1),85.7775,0.644072,1136.6
998,C 5 A A (2),85.5619,0.647633,1136.7
1169,C 5 A A (3),85.3427,0.653404,1136.8
22,C 5 A A (4),85.1257,0.655488,1136.9
772,R 5 A A (1),84.9069,0.466324,1137.6
944,R 5 A A (2),84.3994,0.47238,1137.7
1121,R 5 A A (3),83.8949,0.478994,1137.8
1178,R 5 A A (4),83.3879,0.48491,1137.9
30,6 6 A A (1),81.8149,1.16253,1143.6
89,6 6 A A (2),81.7902,1.161,1143.7
381,6 6 A A (3),81.765,1.16275,1143.8
552,6 6 A A (4),81.7419,1.16599,1143.9
1309,7 6 A A (1),81.5988,0.713899,1144.6
161,7 6 A A (2),81.386,0.718263,1144.7
333,7 6 A A (3),81.1714,0.720223,1144.8
