,Mano,Chica,Stddev_chica,Chica_value
502,7 6 A A (4),80.9596,0.724298,1144.9
1262,S 6 A A (1),80.7459,0.72764,1145.6
109,S 6 A A (2),80.5346,0.730255,1145.7
281,S 6 A A (3),80.3221,0.733783,1145.8
457,S 6 A A (4),80.1091,0.736215,1145.9
1214,C 6 A A (1),79.895,0.740329,1146.6
61,C 6 A A (2),79.6854,0.742985,1146.7
237,C 6 A A (3),79.473,0.745067,1146.8
415,C 6 A A (4),79.2608,0.747589,1146.9
1163,R 6 A A (1),79.0502,0.530747,1147.6
17,R 6 A A (2),78.5552,0.535439,1147.7
190,R 6 A A (3),78.0622,0.53946,1147.8
246,R 6 A A (4),77.5721,0.544009,1147.9
375,7 7 A A (1),76.3145,1.28095,1154.6
544,7 7 A A (2),76.2893,1.28146,1154.7
725,7 7 A A (3),76.2695,1.27885,1154.8
900,7 7 A A (4),76.2471,1.28272,1154.9
327,S 7 A A (1),76.1064,0.786448,1155.6
499,S 7 A A (2),75.8969,0.789244,1155.7
678,S 7 A A (3),75.6912,0.790621,1155.8
856,S 7 A A (4),75.4836,0.793237,1155.9
275,C 7 A A (1),75.2759,0.795323,1156.6
452,C 7 A A (2),75.0673,0.798436,1156.7
636,C 7 A A (3),74.8611,0.800235,1156.8
813,C 7 A A (4),74.6555,0.802713,1156.9
231,R 7 A A (1),74.4459,0.569121,1157.6
410,R 7 A A (2),73.9639,0.571189,1157.7
586,R 7 A A (3),73.484,0.575723,1157.8
647,R 7 A A (4),73.0028,0.579089,1157.9
718,S S A A (1),72.0456,1.35108,1165.6
898,S S A A (2),72.0223,1.35231,1165.7
1076,S S A A (3),71.9999,1.35236,1165.8
1247,S S A A (4),71.9785,1.35255,1165.9
674,C S A A (1),71.8435,0.82886,1166.6
853,C S A A (2),71.6395,0.831315,1166.7
1025,C S A A (3),71.433,0.83304,1166.8
1193,C S A A (4),71.2304,0.834994,1166.9
632,R S A A (1),71.027,0.592011,1167.6
806,R S A A (2),70.5558,0.594992,1167.7
977,R S A A (3),70.08,0.597054,1167.8
1037,R S A A (4),69.6067,0.600881,1167.9
1071,C C A A (1),68.9316,1.39316,1176.6
1243,C C A A (2),68.9139,1.39186,1176.7
88,C C A A (3),68.8898,1.39415,1176.8
260,C C A A (4),68.8709,1.39402,1176.9
1020,R C A A (1),68.7334,0.604633,1177.6
1190,R C A A (2),68.2628,0.607166,1177.7
40,R C A A (3),67.7968,0.609817,1177.8
99,R C A A (4),67.3282,0.611291,1177.9
85,R R A A (1),66.9271,0.656541,1187.6
255,R R A A (2),66.5952,0.657168,1187.7
431,R R A A (3),66.2649,0.659092,1187.8
488,R R A A (4),65.9323,0.66001,1187.9
325,4 4 4 A (1),56.0804,3.43143,1221.6
626,4 4 4 A (2),56.0799,3.43655,1221.7
792,4 4 4 A (3),56.071,3.4315,1221.8
966,4 4 4 A (4),56.0809,3.43028,1221.9
394,5 4 4 A (1),56.0796,1.39875,1222.6
573,5 4 4 A (2),56.0573,1.39875,1222.7
746,5 4 4 A (3),56.031,1.39907,1222.8
922,5 4 4 A (4),56.0048,1.39972,1222.9
344,6 4 4 A (1),55.9824,1.39695,1223.6
407,6 4 4 A (2),55.9549,1.39757,1223.7
694,6 4 4 A (3),55.9337,1.39789,1223.8
876,6 4 4 A (4),55.9061,1.3995,1223.9
292,7 4 4 A (1),55.8795,1.40023,1224.6
355,7 4 4 A (2),55.8536,1.40079,1224.7
651,7 4 4 A (3),55.8277,1.39988,1224.8
828,7 4 4 A (4),55.7996,1.40005,1224.9
249,S 4 4 A (1),55.7744,1.39981,1225.6
423,S 4 4 A (2),55.7516,1.39841,1225.7
600,S 4 4 A (3),55.728,1.40158,1225.8
773,S 4 4 A (4),55.7029,1.39918,1225.9
203,C 4 4 A (1),55.6757,1.40313,1226.6
374,C 4 4 A (2),55.6498,1.39872,1226.7
546,C 4 4 A (3),55.6254,1.39856,1226.8
724,C 4 4 A (4),55.5985,1.4,1226.9
157,R 4 4 A (1),55.5762,0.990479,1227.6
326,R 4 4 A (2),55.5162,0.989158,1227.7
500,R 4 4 A (3),55.4571,0.989688,1227.8
562,R 4 4 A (4),55.3986,0.99065,1227.9
787,5 5 4 A (1),54.0789,1.40444,1232.6
960,5 5 4 A (2),54.0513,1.40583,1232.7
1135,5 5 4 A (3),54.028,1.40194,1232.8
1310,5 5 4 A (4),54.0033,1.40524,1232.9
740,6 5 4 A (1),53.852,0.859718,1233.6
807,6 5 4 A (2),53.6275,0.858722,1233.7
1090,6 5 4 A (3),53.4014,0.85931,1233.8
1264,6 5 4 A (4),53.1758,0.860248,1233.9
690,7 5 4 A (1),52.9525,0.861578,1234.6
870,7 5 4 A (2),52.7277,0.860382,1234.7
1044,7 5 4 A (3),52.5027,0.861395,1234.8
1215,7 5 4 A (4),52.2785,0.860886,1234.9
648,S 5 4 A (1),52.0549,0.863198,1235.6
826,S 5 4 A (2),51.8315,0.861262,1235.7
995,S 5 4 A (3),51.6094,0.861392,1235.8
1164,S 5 4 A (4),51.3874,0.86162,1235.9
596,C 5 4 A (1),51.1663,0.862752,1236.6
768,C 5 4 A (2),50.9461,0.860935,1236.7
940,C 5 4 A (3),50.7235,0.86173,1236.8
1118,C 5 4 A (4),50.504,0.860752,1236.9
542,R 5 4 A (1),50.2827,0.609141,1237.6
717,R 5 4 A (2),49.771,0.609505,1237.7
896,R 5 4 A (3),49.2589,0.608916,1237.8
954,R 5 4 A (4),48.7518,0.609664,1237.9
1130,6 6 4 A (1),47.1833,1.40789,1243.6
1187,6 6 4 A (2),47.1591,1.40606,1243.7
156,6 6 4 A (3),47.1382,1.40808,1243.8
334,6 6 4 A (4),47.1104,1.40889,1243.9
1085,7 6 4 A (1),46.9714,0.85975,1244.6
1259,7 6 4 A (2),46.7624,0.860861,1244.7
106,7 6 4 A (3),46.5523,0.859462,1244.8
279,7 6 4 A (4),46.3431,0.860536,1244.9
1038,S 6 4 A (1),46.1337,0.859301,1245.6
1210,S 6 4 A (2),45.9268,0.859318,1245.7
58,S 6 4 A (3),45.7179,0.859057,1245.8
233,S 6 4 A (4),45.5103,0.857135,1245.9
991,C 6 4 A (1),45.2999,0.858771,1246.6
1160,C 6 4 A (2),45.0946,0.857772,1246.7
13,C 6 4 A (3),44.8875,0.856839,1246.8
186,C 6 4 A (4),44.6813,0.85722,1246.9
935,R 6 4 A (1),44.476,0.60585,1247.6
1113,R 6 4 A (2),43.9966,0.604863,1247.7
1291,R 6 4 A (3),43.5178,0.604444,1247.8
24,R 6 4 A (4),43.0439,0.603144,1247.9
152,7 7 4 A (1),41.8415,1.39023,1254.6
323,7 7 4 A (2),41.8188,1.38823,1254.7
496,7 7 4 A (3),41.7954,1.38846,1254.8
675,7 7 4 A (4),41.7752,1.38877,1254.9
101,S 7 4 A (1),41.6445,0.850447,1255.6
274,S 7 4 A (2),41.4466,0.848956,1255.7
450,S 7 4 A (3),41.2477,0.848274,1255.8
633,S 7 4 A (4),41.0493,0.847825,1255.9
53,C 7 4 A (1),40.8545,0.846132,1256.6
229,C 7 4 A (2),40.6608,0.846491,1256.7
406,C 7 4 A (3),40.4638,0.846993,1256.8
584,C 7 4 A (4),40.27,0.84648,1256.9
9,R 7 4 A (1),40.0721,0.596821,1257.6
182,R 7 4 A (2),39.6192,0.596317,1257.7
353,R 7 4 A (3),39.167,0.594141,1257.8
417,R 7 4 A (4),38.7197,0.593489,1257.9
491,S S 4 A (1),37.8294,1.36641,1265.6
672,S S 4 A (2),37.8104,1.3677,1265.7
850,S S 4 A (3),37.7859,1.36642,1265.8
1021,S S 4 A (4),37.7692,1.36492,1265.9
444,C S 4 A (1),37.6416,0.836464,1266.6
628,C S 4 A (2),37.4554,0.834464,1266.7
801,C S 4 A (3),37.2681,0.834017,1266.8
973,C S 4 A (4),37.0826,0.83323,1266.9
400,R S 4 A (1),36.8928,0.590182,1267.6
579,R S 4 A (2),36.4586,0.587711,1267.7
752,R S 4 A (3),36.025,0.584702,1267.8
817,R S 4 A (4),35.596,0.583849,1267.9
845,C C 4 A (1),34.9865,1.34366,1276.6
1017,C C 4 A (2),34.9637,1.34279,1276.7
1186,C C 4 A (3),34.9439,1.34365,1276.8
37,C C 4 A (4),34.9246,1.34453,1276.9
794,R C 4 A (1),34.8053,0.581338,1277.6
967,R C 4 A (2),34.38,0.579198,1277.7
1141,R C 4 A (3),33.9613,0.576314,1277.8
1197,R C 4 A (4),33.5434,0.575486,1277.9
1181,R R 4 A (1),33.1867,0.61329,1287.6
32,R R 4 A (2),32.8897,0.612537,1287.7
208,R R 4 A (3),32.5959,0.610214,1287.8
264,R R 4 A (4),32.3021,0.609359,1287.9
561,5 5 5 A (1),27.0958,3.07244,1332.6
734,5 5 5 A (2),27.1012,3.06871,1332.7
911,5 5 5 A (3),27.0999,3.07339,1332.8
1091,5 5 5 A (4),27.0972,3.07858,1332.9
507,6 5 5 A (1),27.1003,1.25185,1333.6
576,6 5 5 A (2),27.0819,1.25246,1333.7
866,6 5 5 A (3),27.0664,1.25042,1333.8
1039,6 5 5 A (4),27.0549,1.25178,1333.9
463,7 5 5 A (1),27.0388,1.25132,1334.6
644,7 5 5 A (2),27.0226,1.25228,1334.7
822,7 5 5 A (3),27.0083,1.24976,1334.8
992,7 5 5 A (4),26.9937,1.24882,1334.9
419,S 5 5 A (1),26.9784,1.25133,1335.6
595,S 5 5 A (2),26.958,1.2505,1335.7
765,S 5 5 A (3),26.945,1.25124,1335.8
937,S 5 5 A (4),26.9313,1.24954,1335.9
366,C 5 5 A (1),26.9132,1.24784,1336.6
536,C 5 5 A (2),26.9,1.24982,1336.7
713,C 5 5 A (3),26.8836,1.2489,1336.8
894,C 5 5 A (4),26.8689,1.24867,1336.9
317,R 5 5 A (1),26.8526,0.881997,1337.6
489,R 5 5 A (2),26.8163,0.882129,1337.7
671,R 5 5 A (3),26.7826,0.882285,1337.8
729,R 5 5 A (4),26.7444,0.879945,1337.9
905,6 6 5 A (1),26.0675,1.23748,1343.6
965,6 6 5 A (2),26.0541,1.23785,1343.7
1257,6 6 5 A (3),26.0382,1.23591,1343.8
102,6 6 5 A (4),26.0204,1.23708,1343.9
862,7 6 5 A (1),25.9295,0.755646,1344.6
1034,7 6 5 A (2),25.7923,0.75449,1344.7
1205,7 6 5 A (3),25.6583,0.752704,1344.8
54,7 6 5 A (4),25.5203,0.752153,1344.9
820,S 6 5 A (1),25.3845,0.750629,1345.6
990,S 6 5 A (2),25.2483,0.74944,1345.7
1158,S 6 5 A (3),25.1124,0.746577,1345.8
11,S 6 5 A (4),24.9781,0.746899,1345.9
763,C 6 5 A (1),24.8408,0.745065,1346.6
934,C 6 5 A (2),24.7082,0.744517,1346.7
1111,C 6 5 A (3),24.5741,0.742236,1346.8
1288,C 6 5 A (4),24.4412,0.740966,1346.9
710,R 6 5 A (1),24.3072,0.523066,1347.6
890,R 6 5 A (2),23.9955,0.52115,1347.7
1069,R 6 5 A (3),23.6863,0.518585,1347.8
1122,R 6 5 A (4),23.3778,0.515832,1347.9
1253,7 7 5 A (1),22.6008,1.17784,1354.6
97,7 7 5 A (2),22.5874,1.17688,1354.7
271,7 7 5 A (3),22.573,1.17683,1354.8
446,7 7 5 A (4),22.5616,1.17763,1354.9
1199,S 7 5 A (1),22.4751,0.720602,1355.6
51,S 7 5 A (2),22.3489,0.718434,1355.7
225,S 7 5 A (3),22.2214,0.71807,1355.8
401,S 7 5 A (4),22.0939,0.71465,1355.9
1152,C 7 5 A (1),21.9692,0.71292,1356.6
6,C 7 5 A (2),21.8429,0.713112,1356.7
177,C 7 5 A (3),21.7174,0.711002,1356.8
350,C 7 5 A (4),21.5925,0.709597,1356.9
1107,R 7 5 A (1),21.4674,0.500131,1357.6
1284,R 7 5 A (2),21.1776,0.498493,1357.7
128,R 7 5 A (3),20.8874,0.495138,1357.8
191,R 7 5 A (4),20.6006,0.493207,1357.9
266,S S 5 A (1),20.0342,1.12701,1365.6
441,S S 5 A (2),20.0226,1.1262,1365.7
622,S S 5 A (3),20.0085,1.12777,1365.8
796,S S 5 A (4),19.9958,1.1276,1365.9
220,C S 5 A (1),19.9146,0.688945,1366.6
397,C S 5 A (2),19.7956,0.687485,1366.7
574,C S 5 A (3),19.6752,0.685455,1366.8
749,C S 5 A (4),19.5575,0.68458,1366.9
173,R S 5 A (1),19.4402,0.482248,1367.6
347,R S 5 A (2),19.1626,0.479023,1367.7
517,R S 5 A (3),18.8892,0.47677,1367.8
587,R S 5 A (4),18.6168,0.475122,1367.9
620,C C 5 A (1),18.2323,1.08878,1376.6
789,C C 5 A (2),18.2189,1.08613,1376.7
968,C C 5 A (3),18.2059,1.08654,1376.8
1137,C C 5 A (4),18.1937,1.08678,1376.9
568,R C 5 A (1),18.1166,0.469056,1377.6
743,R C 5 A (2),17.85,0.467177,1377.7
917,R C 5 A (3),17.5864,0.46418,1377.8
979,R C 5 A (4),17.3218,0.460605,1377.9
956,R R 5 A (1),17.099,0.490077,1387.6
1132,R R 5 A (2),16.9142,0.488753,1387.7
1308,R R 5 A (3),16.728,0.486377,1387.8
41,R R 5 A (4),16.5436,0.48333,1387.9
679,6 6 6 A (1),14.2138,2.41781,1443.6
741,6 6 6 A (2),14.2236,2.41564,1443.7
1032,6 6 6 A (3),14.2224,2.41332,1443.8
1202,6 6 6 A (4),14.2218,2.41131,1443.9
640,7 6 6 A (1),14.221,0.984012,1444.6
816,7 6 6 A (2),14.2073,0.983446,1444.7
987,7 6 6 A (3),14.1998,0.983204,1444.8
1153,7 6 6 A (4),14.1889,0.983384,1444.9
589,S 6 6 A (1),14.1783,0.98272,1445.6
761,S 6 6 A (2),14.1712,0.982457,1445.7
931,S 6 6 A (3),14.1575,0.983525,1445.8
1108,S 6 6 A (4),14.1492,0.982355,1445.9
529,C 6 6 A (1),14.1412,0.982086,1446.6
706,C 6 6 A (2),14.13,0.982098,1446.7
887,C 6 6 A (3),14.1189,0.980903,1446.8
1066,C 6 6 A (4),14.1103,0.980635,1446.9
481,R 6 6 A (1),14.0986,0.693109,1447.6
663,R 6 6 A (2),14.0749,0.692811,1447.7
842,R 6 6 A (3),14.0527,0.692003,1447.8
897,R 6 6 A (4),14.0288,0.692166,1447.9
1027,7 7 6 A (1),13.6692,0.967045,1454.6
1195,7 7 6 A (2),13.6603,0.966024,1454.7
49,7 7 6 A (3),13.6471,0.967496,1454.8
224,7 7 6 A (4),13.6377,0.967809,1454.9
980,S 7 6 A (1),13.5786,0.589899,1455.6
1151,S 7 6 A (2),13.4889,0.589453,1455.7
4,S 7 6 A (3),13.4007,0.587651,1455.8
174,S 7 6 A (4),13.3108,0.585637,1455.9
929,C 7 6 A (1),13.2219,0.585145,1456.6
1105,C 7 6 A (2),13.135,0.583432,1456.7
1281,C 7 6 A (3),13.0457,0.579896,1456.8
126,C 7 6 A (4),12.9589,0.578134,1456.9
885,R 7 6 A (1),12.8709,0.407864,1457.6
1061,R 7 6 A (2),12.668,0.405459,1457.7
1233,R 7 6 A (3),12.4646,0.403009,1457.8
1292,R 7 6 A (4),12.2636,0.400551,1457.9
44,S S 6 A (1),11.8688,0.911229,1465.6
216,S S 6 A (2),11.8624,0.910861,1465.7
393,S S 6 A (3),11.8524,0.910074,1465.8
569,S S 6 A (4),11.8424,0.910286,1465.9
2,C S 6 A (1),11.7863,0.555755,1466.6
171,C S 6 A (2),11.7045,0.554175,1466.7
342,C S 6 A (3),11.6205,0.552747,1466.8
513,C S 6 A (4),11.5377,0.551347,1466.9
1275,R S 6 A (1),11.4557,0.388019,1467.6
120,R S 6 A (2),11.2638,0.384997,1467.7
290,R S 6 A (3),11.0747,0.381961,1467.8
354,R S 6 A (4),10.885,0.380041,1467.9
389,C C 6 A (1),10.62,0.867548,1476.6
564,C C 6 A (2),10.612,0.868329,1476.7
738,C C 6 A (3),10.603,0.867948,1476.8
914,C C 6 A (4),10.5936,0.866685,1476.9
339,R C 6 A (1),10.5415,0.374124,1477.6
510,R C 6 A (2),10.3578,0.371604,1477.7
688,R C 6 A (3),10.1754,0.368348,1477.8
753,R C 6 A (4),9.99516,0.365822,1477.9
732,R R 6 A (1),9.84148,0.387622,1487.6
908,R R 6 A (2),9.71469,0.386053,1487.7
1083,R R 6 A (3),9.58735,0.383979,1487.8
1142,R R 6 A (4),9.46173,0.380989,1487.9
805,7 7 7 A (1),8.40544,1.91906,1554.6
975,7 7 7 A (2),8.39867,1.91851,1554.7
1148,7 7 7 A (3),8.4024,1.91875,1554.8
3,7 7 7 A (4),8.40411,1.91794,1554.9
755,S 7 7 A (1),8.40261,0.781726,1555.6
927,S 7 7 A (2),8.3969,0.780934,1555.7
1101,S 7 7 A (3),8.38777,0.781676,1555.8
1278,S 7 7 A (4),8.38293,0.780807,1555.9
702,C 7 7 A (1),8.37487,0.779997,1556.6
883,C 7 7 A (2),8.36784,0.779773,1556.7
1058,C 7 7 A (3),8.35958,0.780595,1556.8
1230,C 7 7 A (4),8.35204,0.778787,1556.9
658,R 7 7 A (1),8.34474,0.551671,1557.6
835,R 7 7 A (2),8.32794,0.550103,1557.7
1005,R 7 7 A (3),8.31192,0.549117,1557.8
1070,R 7 7 A (4),8.29396,0.549372,1557.9
1145,S S 7 A (1),8.08835,0.768809,1565.6
1318,S S 7 A (2),8.08327,0.768552,1565.7
169,S S 7 A (3),8.07711,0.76839,1565.8
341,S S 7 A (4),8.069,0.767884,1565.9
1099,C S 7 A (1),8.02768,0.468519,1566.6
1274,C S 7 A (2),7.9607,0.467006,1566.7
117,C S 7 A (3),7.89716,0.464898,1566.8
288,C S 7 A (4),7.83383,0.463162,1566.9
1055,R S 7 A (1),7.76913,0.326344,1567.6
1226,R S 7 A (2),7.6214,0.323391,1567.7
72,R S 7 A (3),7.47351,0.320732,1567.8
129,R S 7 A (4),7.32701,0.317902,1567.9
165,C C 7 A (1),7.12188,0.72549,1576.6
338,C C 7 A (2),7.11483,0.72512,1576.7
506,C C 7 A (3),7.10885,0.723672,1576.8
685,C C 7 A (4),7.10173,0.72378,1576.9
114,R C 7 A (1),7.06117,0.312539,1577.6
284,R C 7 A (2),6.91907,0.309451,1577.7
460,R C 7 A (3),6.77893,0.306653,1577.8
518,R C 7 A (4),6.63968,0.30407,1577.9
503,R R 7 A (1),6.52156,0.321748,1587.6
682,R R 7 A (2),6.42272,0.319513,1587.7
861,R R 7 A (3),6.32678,0.317518,1587.8
918,R R 7 A (4),6.22959,0.315264,1587.9
923,S S S A (1),5.74926,1.60753,1665.6
1096,S S S A (2),5.74611,1.60981,1665.7
1271,S S S A (3),5.7469,1.6095,1665.8
115,S S S A (4),5.74845,1.60869,1665.9
875,C S S A (1),5.74861,0.655338,1666.6
1051,C S S A (2),5.74247,0.656228,1666.7
1222,C S S A (3),5.73708,0.654742,1666.8
69,C S S A (4),5.73046,0.655671,1666.9
829,R S S A (1),5.72557,0.462861,1667.6
999,R S S A (2),5.71194,0.462715,1667.7
1170,R S S A (3),5.69785,0.462144,1667.8
1234,R S S A (4),5.68399,0.460532,1667.9
1269,C C S A (1),5.56743,0.645931,1676.6
111,C C S A (2),5.56065,0.646073,1676.7
282,C C S A (3),5.55488,0.644883,1676.8
459,C C S A (4),5.54906,0.644454,1676.9
1216,R C S A (1),5.5133,0.278184,1677.6
63,R C S A (2),5.38974,0.275323,1677.7
240,R C S A (3),5.2678,0.272447,1677.8
291,R C S A (4),5.14704,0.269019,1677.9
277,R R S A (1),5.04488,0.284992,1687.6
454,R R S A (2),4.95992,0.283242,1687.7
639,R R S A (3),4.87657,0.280735,1687.8
689,R R S A (4),4.79199,0.278571,1687.9
1043,C C C A (1),4.59305,1.44901,1776.6
1212,C C C A (2),4.59345,1.44884,1776.7
59,C C C A (3),4.597,1.44762,1776.8
235,C C C A (4),4.5946,1.44684,1776.9
993,R C C A (1),4.59567,0.41714,1777.6
1161,R C C A (2),4.5832,0.417489,1777.7
14,R C C A (3),4.56922,0.416044,1777.8
73,R C C A (4),4.55704,0.415722,1777.9
55,R R C A (1),4.49302,0.270325,1787.6
230,R R C A (2),4.41196,0.267567,1787.7
408,R R C A (3),4.33187,0.265921,1787.8
461,R R C A (4),4.25199,0.26275,1787.9
1154,R R R A (1),4.19891,0.370661,1887.6
8,R R R A (2),4.18113,0.369046,1887.7
179,R R R A (3),4.16378,0.368287,1887.8
239,R R R A (4),4.14634,0.367944,1887.9
1237,4 4 4 4 (1),2.42163,6.65683,2221.6
199,4 4 4 4 (2),2.43432,6.67282,2221.7
370,4 4 4 4 (3),2.42255,6.6354,2221.8
540,4 4 4 4 (4),2.44109,6.65089,2221.9
1301,5 4 4 4 (1),2.43138,1.50961,2222.6
149,5 4 4 4 (2),2.43433,1.51313,2222.7
319,5 4 4 4 (3),2.43077,1.51189,2222.8
495,5 4 4 4 (4),2.43332,1.51167,2222.9
1255,6 4 4 4 (1),2.43379,1.51331,2223.6
1316,6 4 4 4 (2),2.43142,1.51107,2223.7
272,6 4 4 4 (3),2.42935,1.51038,2223.8
449,6 4 4 4 (4),2.42708,1.50921,2223.9
1207,7 4 4 4 (1),2.43185,1.51152,2224.6
1265,7 4 4 4 (2),2.43216,1.50925,2224.7
227,7 4 4 4 (3),2.43153,1.51156,2224.8
405,7 4 4 4 (4),2.4284,1.50962,2224.9
1156,S 4 4 4 (1),2.43311,1.5108,2225.6
7,S 4 4 4 (2),2.42809,1.50941,2225.7
181,S 4 4 4 (3),2.4303,1.50786,2225.8
351,S 4 4 4 (4),2.42678,1.50863,2225.9
1109,C 4 4 4 (1),2.42916,1.51012,2226.6
1285,C 4 4 4 (2),2.4286,1.50903,2226.7
131,C 4 4 4 (3),2.42938,1.51068,2226.8
302,C 4 4 4 (4),2.43048,1.51083,2226.9
1065,R 4 4 4 (1),2.43246,1.06528,2227.6
1238,R 4 4 4 (2),2.43027,1.06511,2227.7
83,R 4 4 4 (3),2.42885,1.06704,2227.8
144,R 4 4 4 (4),2.42866,1.06437,2227.9
365,5 5 4 4 (1),2.43034,1.00499,2232.6
535,5 5 4 4 (2),2.43077,1.00309,2232.7
711,5 5 4 4 (3),2.43114,1.00433,2232.8
892,5 5 4 4 (4),2.42791,1.00361,2232.9
314,6 5 4 4 (1),2.42919,0.613375,2233.6
377,6 5 4 4 (2),2.42818,0.614082,2233.7
670,6 5 4 4 (3),2.42738,0.613338,2233.8
849,6 5 4 4 (4),2.42646,0.614254,2233.9
270,7 5 4 4 (1),2.42357,0.612679,2234.6
443,7 5 4 4 (2),2.4241,0.611792,2234.7
624,7 5 4 4 (3),2.42506,0.613888,2234.8
799,7 5 4 4 (4),2.42225,0.613131,2234.9
223,S 5 4 4 (1),2.42136,0.612614,2235.6
398,S 5 4 4 (2),2.41883,0.611703,2235.7
578,S 5 4 4 (3),2.41884,0.612264,2235.8
750,S 5 4 4 (4),2.41788,0.611668,2235.9
175,C 5 4 4 (1),2.417,0.612384,2236.6
348,C 5 4 4 (2),2.41504,0.611889,2236.7
520,C 5 4 4 (3),2.41517,0.612791,2236.8
698,C 5 4 4 (4),2.41388,0.610808,2236.9
