,Pares_repr,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Pares_value
95, A A A X (4),78.58428571428571,1.0266348571428572,76.40014285714287,1.1150977142857141,111.1
172, R R X X (1),77.6758238095238,0.7049982857142857,75.53769523809524,0.7613692857142856,88.4
173, R R X X (2),69.48262857142856,0.7789303333333334,66.55565238095238,0.8349437619047619,88.3
174, R R X X (3),61.771966666666664,0.8217194285714287,58.10290952380952,0.8729204285714286,88.2
175, R R X X (4),54.538314285714286,0.8413104285714285,50.172799999999995,0.8839532380952381,88.1
132, C C X X (1),40.93250476190476,1.6329165238095238,36.645204761904765,1.6550604761904761,77.4
133, C C X X (2),40.510914285714286,1.6302639523809523,36.19274285714285,1.6506957142857142,77.3
134, C C X X (3),40.08925238095238,1.6272129047619046,35.740252380952384,1.6459723809523812,77.2
135, C C X X (4),39.66891904761904,1.6247500476190477,35.289076190476194,1.64147,77.1
204, S S X X (1),35.10807142857143,1.5845366666666667,30.39166666666667,1.5794267142857141,66.4
205, S S X X (2),34.732304761904764,1.580853761904762,29.988357142857144,1.5735633333333332,66.3
206, S S X X (3),34.35697619047619,1.576819904761905,29.5861,1.5675245238095237,66.2
207, S S X X (4),33.98200476190476,1.571768095238095,29.183185714285713,1.5603809523809524,66.1
84, 7 7 X X (1),29.91191428571429,1.520201142857143,24.812942857142854,1.4837474285714285,55.39999999999999
85, 7 7 X X (2),29.578599999999998,1.5145340952380952,24.455142857142857,1.476146857142857,55.3
86, 7 7 X X (3),29.246538095238098,1.5099823333333333,24.098766666666666,1.4687684761904762,55.2
87, 7 7 X X (4),28.913938095238098,1.5049309523809522,23.742104761904763,1.4614446666666667,55.10000000000001
56, 6 6 X X (1),25.30274285714286,1.444855,19.864776190476192,1.3724411904761904,44.4
57, 6 6 X X (2),25.009785714285716,1.4387435714285715,19.550580952380955,1.3637983333333334,44.3
58, 6 6 X X (3),24.71762857142857,1.4328411904761904,19.236761904761902,1.3552188095238096,44.2
59, 6 6 X X (4),24.426571428571428,1.4271954285714286,18.924219047619047,1.3465351428571428,44.1
32, 5 5 X X (1),21.243509523809525,1.3601490952380952,15.507166666666668,1.2466318571428572,33.4
33, 5 5 X X (2),20.98824761904762,1.353879619047619,15.233542857142858,1.2376986190476191,33.3
34, 5 5 X X (3),20.734109523809522,1.3483266666666667,14.960480952380951,1.2287916666666667,33.2
35, 5 5 X X (4),20.47918095238095,1.3413830952380952,14.686657142857143,1.2192069047619047,33.1
12, 4 4 X X (1),17.69542380952381,1.2702187142857144,11.69851238095238,1.109918380952381,22.4
13, 4 4 X X (2),17.47527142857143,1.2647197619047619,11.462025714285714,1.1006199523809523,22.3
14, 4 4 X X (3),17.254585714285714,1.2576328571428572,11.224791428571429,1.090304142857143,22.2
15, 4 4 X X (4),17.03322857142857,1.251574523809524,10.987745714285714,1.0800586666666667,22.1
96, A A X X (1),15.424452380952381,0.6081015238095239,7.298114285714286,0.4582962380952381,11.4
97, A A X X (2),12.96617619047619,0.5655118095238095,4.602660476190477,0.36906623809523814,11.3
98, A A X X (3),10.749909523809524,0.5211362380952381,2.172552857142857,0.25680490476190476,11.2
99, A A X X (4),8.768605238095239,0.4757380952380952,0.0,0.0,11.1
