,Mano,Grande,Stddev_grande,Grande_value
9,R R R R (1),100.0,0.0,8888.4
1131,R R R R (2),99.9984,0.0266472,8888.3
863,R R R R (3),99.9966,0.0386371,8888.2
43,R R R R (4),99.9949,0.047075,8888.1
815,R R R C (1),99.9745,0.0588096,8887.4
134,R R R C (2),99.9234,0.101776,8887.3
57,R R R C (3),99.8726,0.13161,8887.2
1200,R R R C (4),99.8224,0.155212,8887.1
848,R R R S (1),99.7703,0.176575,8886.4
644,R R R S (2),99.7196,0.195006,8886.3
771,R R R S (3),99.6686,0.212244,8886.2
263,R R R S (4),99.6178,0.227234,8886.1
702,R R R 7 (1),99.567,0.242024,8885.4
207,R R R 7 (2),99.5162,0.255562,8885.3
447,R R R 7 (3),99.4648,0.269823,8885.2
922,R R R 7 (4),99.4151,0.281519,8885.1
13,R R R 6 (1),99.3638,0.293336,8884.4
404,R R R 6 (2),99.3116,0.304647,8884.3
247,R R R 6 (3),99.2608,0.316341,8884.2
587,R R R 6 (4),99.2118,0.326644,8884.1
707,R R R 5 (1),99.1591,0.337897,8883.4
175,R R R 5 (2),99.1092,0.346712,8883.3
226,R R R 5 (3),99.0589,0.356248,8883.2
535,R R R 5 (4),99.0074,0.365793,8883.1
78,R R R 4 (1),98.9566,0.374695,8882.4
31,R R R 4 (2),98.9042,0.384014,8882.3
746,R R R 4 (3),98.8528,0.393862,8882.2
654,R R R 4 (4),98.804,0.402042,8882.1
105,R R R A (1),98.7523,0.289647,8881.4
384,R R R A (2),98.6331,0.303444,8881.3
292,R R R A (3),98.5146,0.315388,8881.2
636,R R R A (4),98.3955,0.327536,8881.1
99,R R C C (1),96.8706,0.742253,8877.4
851,R R C C (2),96.8457,0.746517,8877.3
606,R R C C (3),96.8199,0.74864,8877.2
418,R R C C (4),96.7953,0.74862,8877.1
666,R R C S (1),96.6417,0.469933,8876.4
1025,R R C S (2),96.4161,0.484084,8876.3
425,R R C S (3),96.188,0.498368,8876.2
760,R R C S (4),95.9615,0.513716,8876.1
778,R R C 7 (1),95.7321,0.526777,8875.4
141,R R C 7 (2),95.5059,0.54062,8875.3
321,R R C 7 (3),95.2786,0.553655,8875.2
487,R R C 7 (4),95.0519,0.566934,8875.1
640,R R C 6 (1),94.8269,0.578897,8874.4
395,R R C 6 (2),94.5967,0.588282,8874.3
568,R R C 6 (3),94.3745,0.600943,8874.2
513,R R C 6 (4),94.1475,0.613199,8874.1
972,R R C 5 (1),93.919,0.623461,8873.4
238,R R C 5 (2),93.6958,0.634686,8873.3
718,R R C 5 (3),93.4688,0.64595,8873.2
480,R R C 5 (4),93.2453,0.654334,8873.1
432,R R C 4 (1),93.0161,0.663296,8872.4
964,R R C 4 (2),92.7932,0.673906,8872.3
267,R R C 4 (3),92.5687,0.684371,8872.2
562,R R C 4 (4),92.3434,0.694218,8872.1
619,R R C A (1),92.1202,0.497142,8871.4
1068,R R C A (2),91.5943,0.511729,8871.3
799,R R C A (3),91.0695,0.526861,8871.2
927,R R C A (4),90.5492,0.53912,8871.1
368,R R S S (1),88.6249,1.35315,8866.4
1311,R R S S (2),88.6025,1.35404,8866.3
125,R R S S (3),88.5781,1.35544,8866.2
1231,R R S S (4),88.5509,1.35689,8866.1
1272,R R S 7 (1),88.4065,0.835538,8865.4
372,R R S 7 (2),88.1872,0.840196,8865.3
1141,R R S 7 (3),87.9649,0.84671,8865.2
469,R R S 7 (4),87.7463,0.856633,8865.1
543,R R S 6 (1),87.5295,0.863497,8864.4
308,R R S 6 (2),87.3101,0.868668,8864.3
891,R R S 6 (3),87.0934,0.872894,8864.2
361,R R S 6 (4),86.8712,0.880653,8864.1
98,R R S 5 (1),86.6527,0.887176,8863.4
578,R R S 5 (2),86.4329,0.892744,8863.3
417,R R S 5 (3),86.2147,0.901667,8863.2
806,R R S 5 (4),85.9923,0.903067,8863.1
615,R R S 4 (1),85.7788,0.910323,8862.4
464,R R S 4 (2),85.5628,0.916066,8862.3
312,R R S 4 (3),85.3437,0.921848,8862.2
493,R R S 4 (4),85.1257,0.928439,8862.1
887,R R S A (1),84.9063,0.660598,8861.4
592,R R S A (2),84.3995,0.668253,8861.3
1170,R R S A (3),83.8958,0.679839,8861.2
997,R R S A (4),83.3861,0.686836,8861.1
74,R R 7 7 (1),81.816,1.64483,8855.4
1184,R R 7 7 (2),81.7869,1.64535,8855.3
202,R R 7 7 (3),81.7605,1.64678,8855.2
1245,R R 7 7 (4),81.7385,1.64514,8855.1
1053,R R 7 6 (1),81.5994,1.00949,8854.4
388,R R 7 6 (2),81.3868,1.01649,8854.3
878,R R 7 6 (3),81.1722,1.02004,8854.2
382,R R 7 6 (4),80.9566,1.02331,8854.1
780,R R 7 5 (1),80.7467,1.03048,8853.4
669,R R 7 5 (2),80.5356,1.03324,8853.3
348,R R 7 5 (3),80.3203,1.03837,8853.2
41,R R 7 5 (4),80.111,1.03972,8853.1
1089,R R 7 4 (1),79.8939,1.04444,8852.4
925,R R 7 4 (2),79.6826,1.0482,8852.3
1101,R R 7 4 (3),79.4727,1.05471,8852.2
1055,R R 7 4 (4),79.2618,1.05764,8852.1
1304,R R 7 A (1),79.0488,0.748943,8851.4
948,R R 7 A (2),78.5541,0.757825,8851.3
1012,R R 7 A (3),78.0625,0.763281,8851.2
623,R R 7 A (4),77.5707,0.768953,8851.1
176,R R 6 6 (1),76.3173,1.80987,8844.4
81,R R 6 6 (2),76.2883,1.81211,8844.3
148,R R 6 6 (3),76.2713,1.81197,8844.2
1064,R R 6 6 (4),76.2448,1.81337,8844.1
158,R R 6 5 (1),76.1086,1.11314,8843.4
914,R R 6 5 (2),75.8975,1.11462,8843.3
1152,R R 6 5 (3),75.6918,1.1184,8843.2
1293,R R 6 5 (4),75.4864,1.12249,8843.1
80,R R 6 4 (1),75.2755,1.12691,8842.4
1190,R R 6 4 (2),75.0706,1.12703,8842.3
682,R R 6 4 (3),74.8621,1.13326,8842.2
691,R R 6 4 (4),74.6533,1.13193,8842.1
813,R R 6 A (1),74.4483,0.80401,8841.4
945,R R 6 A (2),73.9659,0.808733,8841.3
1254,R R 6 A (3),73.4816,0.815371,8841.2
1316,R R 6 A (4),73.0018,0.816714,8841.1
1194,R R 5 5 (1),72.0493,1.90962,8833.4
775,R R 5 5 (2),72.0194,1.91353,8833.3
85,R R 5 5 (3),71.9971,1.9171,8833.2
908,R R 5 5 (4),71.9845,1.91329,8833.1
1077,R R 5 4 (1),71.8407,1.17327,8832.4
1308,R R 5 4 (2),71.6369,1.17812,8832.3
131,R R 5 4 (3),71.4374,1.17777,8832.2
1285,R R 5 4 (4),71.2329,1.18221,8832.1
1138,R R 5 A (1),71.0283,0.835846,8831.4
1288,R R 5 A (2),70.5494,0.8416,8831.3
62,R R 5 A (3),70.0765,0.845595,8831.2
1132,R R 5 A (4),69.6078,0.848733,8831.1
1128,R R 4 4 (1),68.9297,1.97274,8822.4
152,R R 4 4 (2),68.9062,1.97271,8822.3
1096,R R 4 4 (3),68.8841,1.97248,8822.2
901,R R 4 4 (4),68.8703,1.97364,8822.1
1042,R R 4 A (1),68.7349,0.85438,8821.4
194,R R 4 A (2),68.2643,0.858259,8821.3
133,R R 4 A (3),67.7972,0.861346,8821.2
143,R R 4 A (4),67.3271,0.865391,8821.1
1266,R R A A (1),66.9317,0.929175,8811.4
1269,R R A A (2),66.5938,0.928832,8811.3
20,R R A A (3),66.2642,0.933501,8811.2
48,R R A A (4),65.9313,0.933815,8811.1
1129,R C C C (1),56.0778,4.86995,8777.4
861,R C C C (2),56.0881,4.88412,8777.3
46,R C C C (3),56.0748,4.87153,8777.2
515,R C C C (4),56.0734,4.87255,8777.1
135,R C C S (1),56.0836,1.97877,8776.4
58,R C C S (2),56.0543,1.97405,8776.3
1198,R C C S (3),56.0292,1.97692,8776.2
196,R C C S (4),56.0025,1.97658,8776.1
646,R C C 7 (1),55.9794,1.97739,8775.4
770,R C C 7 (2),55.9598,1.97743,8775.3
264,R C C 7 (3),55.9268,1.98122,8775.2
160,R C C 7 (4),55.907,1.98302,8775.1
205,R C C 6 (1),55.8835,1.97857,8774.4
448,R C C 6 (2),55.8495,1.97791,8774.3
919,R C C 6 (3),55.8267,1.98126,8774.2
302,R C C 6 (4),55.8052,1.97685,8774.1
409,R C C 5 (1),55.7778,1.97983,8773.4
249,R C C 5 (2),55.7494,1.97905,8773.3
588,R C C 5 (3),55.7267,1.98015,8773.2
287,R C C 5 (4),55.6955,1.97594,8773.1
173,R C C 4 (1),55.6778,1.97657,8772.4
232,R C C 4 (2),55.6542,1.98036,8772.3
540,R C C 4 (3),55.629,1.97622,8772.2
441,R C C 4 (4),55.6064,1.97692,8772.1
754,R C C A (1),55.5714,1.39727,8771.4
751,R C C A (2),55.52,1.39822,8771.3
655,R C C A (3),55.4509,1.40146,8771.2
867,R C C A (4),55.3993,1.40185,8771.1
850,R C S S (1),54.0735,1.9871,8766.4
604,R C S S (2),54.0542,1.98928,8766.3
355,R C S S (3),54.0283,1.98654,8766.2
574,R C S S (4),54.0092,1.98308,8766.1
1024,R C S 7 (1),53.8496,1.21632,8765.4
424,R C S 7 (2),53.6277,1.21801,8765.3
759,R C S 7 (3),53.3996,1.21351,8765.2
375,R C S 7 (4),53.1775,1.21827,8765.1
139,R C S 6 (1),52.9524,1.21739,8764.4
320,R C S 6 (2),52.7289,1.21909,8764.3
486,R C S 6 (3),52.501,1.22041,8764.2
981,R C S 6 (4),52.2788,1.21804,8764.1
398,R C S 5 (1),52.057,1.22128,8763.4
571,R C S 5 (2),51.8318,1.21907,8763.3
512,R C S 5 (3),51.6106,1.21885,8763.2
1163,R C S 5 (4),51.3876,1.22037,8763.1
242,R C S 4 (1),51.1653,1.21999,8762.4
720,R C S 4 (2),50.9492,1.22173,8762.3
473,R C S 4 (3),50.723,1.21958,8762.2
732,R C S 4 (4),50.5041,1.22048,8762.1
967,R C S A (1),50.2841,0.861077,8761.4
269,R C S A (2),49.7705,0.862089,8761.3
564,R C S A (3),49.2611,0.863964,8761.2
821,R C S A (4),48.7518,0.860508,8761.1
1312,R C 7 7 (1),47.1807,1.9877,8755.4
123,R C 7 7 (2),47.1607,1.99016,8755.3
1233,R C 7 7 (3),47.1353,1.98548,8755.2
500,R C 7 7 (4),47.1189,1.99231,8755.1
620,R C 7 6 (1),46.9748,1.21611,8754.4
1140,R C 7 6 (2),46.7671,1.21574,8754.3
471,R C 7 6 (3),46.5495,1.21772,8754.2
1021,R C 7 6 (4),46.345,1.2165,8754.1
856,R C 7 5 (1),46.1357,1.21516,8753.4
890,R C 7 5 (2),45.924,1.21277,8753.3
366,R C 7 5 (3),45.7179,1.21294,8753.2
600,R C 7 5 (4),45.508,1.21413,8753.1
1029,R C 7 4 (1),45.2985,1.2175,8752.4
422,R C 7 4 (2),45.0992,1.21422,8752.3
805,R C 7 4 (3),44.8893,1.21478,8752.2
1047,R C 7 4 (4),44.6805,1.21088,8752.1
465,R C 7 A (1),44.4785,0.860222,8751.4
316,R C 7 A (2),43.9955,0.857881,8751.3
491,R C 7 A (3),43.52,0.855702,8751.2
845,R C 7 A (4),43.042,0.855265,8751.1
1177,R C 6 6 (1),41.8363,1.96839,8744.4
204,R C 6 6 (2),41.8182,1.97,8744.3
1247,R C 6 6 (3),41.7935,1.96042,8744.2
933,R C 6 6 (4),41.7756,1.96899,8744.1
607,R C 6 5 (1),41.6437,1.20207,8743.4
1298,R C 6 5 (2),41.443,1.20003,8743.3
385,R C 6 5 (3),41.2459,1.20181,8743.2
990,R C 6 5 (4),41.0478,1.19748,8743.1
89,R C 6 4 (1),40.8524,1.20195,8742.4
127,R C 6 4 (2),40.656,1.19703,8742.3
37,R C 6 4 (3),40.4631,1.1981,8742.2
1213,R C 6 4 (4),40.2708,1.19699,8742.1
926,R C 6 A (1),40.0768,0.84723,8741.4
1098,R C 6 A (2),39.6214,0.844641,8741.3
180,R C 6 A (3),39.1681,0.843381,8741.2
1226,R C 6 A (4),38.7182,0.841563,8741.1
82,R C 5 5 (1),37.8238,1.92954,8733.4
147,R C 5 5 (2),37.808,1.92884,8733.3
1070,R C 5 5 (3),37.7929,1.9285,8733.2
1119,R C 5 5 (4),37.7681,1.93315,8733.1
3,R C 5 4 (1),37.6421,1.18066,8732.4
12,R C 5 4 (2),37.4564,1.18246,8732.3
5,R C 5 4 (3),37.2677,1.17835,8732.2
1046,R C 5 4 (4),37.0765,1.17731,8732.1
1188,R C 5 A (1),36.8913,0.832523,8731.4
277,R C 5 A (2),36.46,0.829886,8731.3
688,R C 5 A (3),36.0249,0.827516,8731.2
671,R C 5 A (4),35.5967,0.82564,8731.1
774,R C 4 4 (1),34.9892,1.90301,8722.4
971,R C 4 4 (2),34.9704,1.90173,8722.3
905,R C 4 4 (3),34.947,1.90582,8722.2
1206,R C 4 4 (4),34.9298,1.90276,8722.1
1307,R C 4 A (1),34.8044,0.821928,8721.4
1155,R C 4 A (2),34.3783,0.818838,8721.3
1283,R C 4 A (3),33.9599,0.816712,8721.2
1310,R C 4 A (4),33.5425,0.814067,8721.1
153,R C A A (1),33.188,0.867642,8711.4
1026,R C A A (2),32.8884,0.867293,8711.3
903,R C A A (3),32.5972,0.863516,8711.2
1240,R C A A (4),32.2973,0.86122,8711.1
860,R S S S (1),27.1032,4.3666,8666.4
742,R S S S (2),27.0958,4.35446,8666.3
517,R S S S (3),27.1019,4.35166,8666.2
34,R S S S (4),27.1087,4.3648,8666.1
55,R S S 7 (1),27.1028,1.7722,8665.4
1197,R S S 7 (2),27.0834,1.7703,8665.3
199,R S S 7 (3),27.0706,1.7703,8665.2
187,R S S 7 (4),27.0546,1.77382,8665.1
822,R S S 6 (1),27.0384,1.76816,8664.4
262,R S S 6 (2),27.0243,1.76942,8664.3
164,R S S 6 (3),27.0065,1.77042,8664.2
138,R S S 6 (4),26.9939,1.77085,8664.1
937,R S S 5 (1),26.9741,1.76951,8663.4
918,R S S 5 (2),26.959,1.76864,8663.3
301,R S S 5 (3),26.9448,1.76466,8663.2
523,R S S 5 (4),26.934,1.77217,8663.1
253,R S S 4 (1),26.9142,1.76681,8662.4
586,R S S 4 (2),26.8976,1.76703,8662.3
289,R S S 4 (3),26.8817,1.7672,8662.2
