,Mano,Chica,Stddev_chica,Chica_value
1,S S A A (4),71.9774,1.91617,1165.9
185,C S A A (1),71.8415,1.17323,1166.6
781,C S A A (2),71.6388,1.17473,1166.7
1134,C S A A (3),71.4368,1.17897,1166.8
1123,C S A A (4),71.2309,1.17993,1166.9
970,R S A A (1),71.024,0.837839,1167.6
906,R S A A (2),70.5522,0.840301,1167.7
1208,R S A A (3),70.0801,0.84499,1167.8
960,R S A A (4),69.6081,0.846937,1167.9
92,C C A A (1),68.9363,1.97207,1176.6
177,C C A A (2),68.9118,1.97393,1176.7
114,C C A A (3),68.8919,1.97357,1176.8
25,C C A A (4),68.8663,1.96983,1176.9
153,R C A A (1),68.7337,0.854614,1177.6
1026,R C A A (2),68.2623,0.857408,1177.7
903,R C A A (3),67.7923,0.861893,1177.8
1240,R C A A (4),67.3299,0.863341,1177.9
1266,R R A A (1),66.928,0.927354,1187.6
1269,R R A A (2),66.5952,0.930587,1187.7
20,R R A A (3),66.2623,0.933502,1187.8
48,R R A A (4),65.9316,0.936428,1187.9
1167,4 4 4 A (1),56.0911,4.86354,1221.6
18,4 4 4 A (2),56.0905,4.86061,1221.7
318,4 4 4 A (3),56.0777,4.86655,1221.8
489,4 4 4 A (4),56.0931,4.85884,1221.9
854,5 4 4 A (1),56.0846,1.97698,1222.6
116,5 4 4 A (2),56.0561,1.97703,1222.7
359,5 4 4 A (3),56.0223,1.97477,1222.8
596,5 4 4 A (4),56.0044,1.97847,1222.9
1227,6 4 4 A (1),55.9744,1.98149,1223.6
170,6 4 4 A (2),55.9521,1.97823,1223.7
1080,6 4 4 A (3),55.9353,1.98229,1223.8
1238,6 4 4 A (4),55.9079,1.97822,1223.9
1302,7 4 4 A (1),55.8752,1.98401,1224.6
1221,7 4 4 A (2),55.8546,1.9812,1224.7
1007,7 4 4 A (3),55.8296,1.98233,1224.8
71,7 4 4 A (4),55.7986,1.97839,1224.9
434,S 4 4 A (1),55.7805,1.97991,1225.6
328,S 4 4 A (2),55.7502,1.98142,1225.7
1183,S 4 4 A (3),55.731,1.98291,1225.8
1218,S 4 4 A (4),55.6971,1.98208,1225.9
1067,C 4 4 A (1),55.6773,1.98339,1226.6
800,C 4 4 A (2),55.6515,1.98202,1226.7
928,C 4 4 A (3),55.6262,1.9822,1226.8
1086,C 4 4 A (4),55.6012,1.98306,1226.9
785,R 4 4 A (1),55.5738,1.39631,1227.6
1091,R 4 4 A (2),55.516,1.40065,1227.7
1180,R 4 4 A (3),55.4544,1.4002,1227.8
1005,R 4 4 A (4),55.4013,1.40057,1227.9
73,5 5 4 A (1),54.0875,1.98189,1232.6
88,5 5 4 A (2),54.0545,1.98607,1232.7
126,5 5 4 A (3),54.0266,1.9829,1232.8
36,5 5 4 A (4),54.0032,1.98656,1232.9
1315,6 5 4 A (1),53.8549,1.21815,1233.6
1270,6 5 4 A (2),53.6237,1.21489,1233.7
1248,6 5 4 A (3),53.4034,1.21823,1233.8
1264,6 5 4 A (4),53.1781,1.22027,1233.9
1043,7 5 4 A (1),52.9496,1.21666,1234.6
1019,7 5 4 A (2),52.7273,1.21911,1234.7
243,7 5 4 A (3),52.5054,1.21802,1234.8
144,7 5 4 A (4),52.2803,1.2194,1234.9
548,S 5 4 A (1),52.056,1.22057,1235.6
818,S 5 4 A (2),51.8341,1.21803,1235.7
1076,S 5 4 A (3),51.6093,1.22191,1235.8
162,S 5 4 A (4),51.3897,1.2207,1235.9
1161,C 5 4 A (1),51.1641,1.21843,1236.6
220,C 5 4 A (2),50.9434,1.22038,1236.7
1059,C 5 4 A (3),50.726,1.22023,1236.8
1116,C 5 4 A (4),50.5004,1.22142,1236.9
1035,R 5 4 A (1),50.2841,0.861176,1237.6
1112,R 5 4 A (2),49.7688,0.862774,1237.7
1289,R 5 4 A (3),49.2612,0.862173,1237.8
1235,R 5 4 A (4),48.7487,0.861798,1237.9
7,6 6 4 A (1),47.1826,1.99137,1243.6
67,6 6 4 A (2),47.1552,1.9905,1243.7
1241,6 6 4 A (3),47.1331,1.98898,1243.8
1115,6 6 4 A (4),47.113,1.98723,1243.9
1282,7 6 4 A (1),46.9733,1.21838,1244.6
1309,7 6 4 A (2),46.764,1.21753,1244.7
234,7 6 4 A (3),46.5526,1.21948,1244.8
1281,7 6 4 A (4),46.3425,1.21658,1244.9
414,S 6 4 A (1),46.1314,1.21787,1245.6
504,S 6 4 A (2),45.9264,1.21456,1245.7
697,S 6 4 A (3),45.7147,1.21625,1245.8
1220,S 6 4 A (4),45.5084,1.21719,1245.9
802,C 6 4 A (1),45.3035,1.21419,1246.6
1048,C 6 4 A (2),45.0926,1.21517,1246.7
1105,C 6 4 A (3),44.8887,1.21392,1246.8
1182,C 6 4 A (4),44.6818,1.21285,1246.9
1022,R 6 4 A (1),44.4771,0.857108,1247.6
880,R 6 4 A (2),43.9945,0.856631,1247.7
916,R 6 4 A (3),43.5175,0.8561,1247.8
1187,R 6 4 A (4),43.0414,0.855526,1247.9
132,7 7 4 A (1),41.8349,1.96347,1254.6
142,7 7 4 A (2),41.8181,1.96369,1254.7
1168,7 7 4 A (3),41.7965,1.96934,1254.8
16,7 7 4 A (4),41.7709,1.96912,1254.9
