,Mano,Grande,Stddev_grande,Chica,Stddev_chica,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Juego_1,Stddev_juego_1,Juego_2,Stddev_juego_2,Punto,Stddev_punto,Grande_value,Chica_value,Pares_value,Juego_value,Pares_repr,Juego_repr,Muestras_total,Muestras_pares_1,Muestras_pares_2,Muestras_juego_1,Muestras_juego_2,Muestras_punto,Sample_size
240,S S 7 7 (2),0.215226,0.427639,0.000167779,0.0120051,90.7158,2.68538,90.129,2.84646,49.8247,4.61164,10.8701,3.85479,0.0,0.0,6655.3,5565.7,6655.3,34.3, S S 7 7 (2), 34 (2),300000,35459172,33351203,35459172,19961528,0,300000
241,S S 6 A (4),0.208528,0.182207,11.8413,1.28822,32.086,1.85843,26.8121,1.83392,0.0,0.0,0.0,0.0,36.2838,3.09139,6641.1,1465.9,66.1,27.1, S S X X (4), 27 (4),300000,189085545,175460386,116331864,26467308,108851,300000
242,R C S 4 (1),51.1653,1.21999,0.533988,0.177855,0.0,0.0,0.0,0.0,53.9845,1.21683,16.6583,1.22365,0.0,0.0,8762.4,2677.6,0.4,34.4, X X X X (1), 34 (1),300000,466207371,307089873,504182906,278374675,0,300000
243,7 5 4 A (3),0.00158694,0.00969062,52.5054,1.21802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218009,0.0688898,5321.2,1234.8,0.2,17.2, X X X X (3), 17 (3),300000,466240973,307108334,366536078,115520324,65,300000
244,7 6 5 4 (4),0.006152,0.0270726,1.99669,0.483045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86944,0.855118,5432.1,2344.9,0.1,22.1, X X X X (4), 22 (4),300000,235629977,159958499,176602526,51507649,5608,300000
245,C 7 7 5 (1),1.21305,0.616973,0.0808365,0.159977,29.0121,2.56074,24.2997,2.49943,0.0,0.0,0.0,0.0,84.8884,3.30586,7553.4,3556.6,55.4,29.4, 7 7 X X (1), 29 (1),300000,94545251,88659449,58881320,13650435,254665,300000
246,S 6 6 6 (1),0.0806081,0.394882,0.00946747,0.135104,78.2177,5.74185,76.9098,6.03697,0.0,0.0,0.0,0.0,76.9621,9.97279,6444.4,4445.6,444.4,28.4, 6 6 6 X (1), 28 (1),300000,15759932,14866820,10081760,2458605,230886,300000
247,R R R 6 (3),99.2608,0.316341,0.000493309,0.00818666,88.8758,1.16001,87.7637,1.26796,61.6751,1.79688,28.2353,2.28093,0.0,0.0,8884.2,4887.8,888.2,36.2, R R R X (3), 36 (3),300000,220590049,200541975,220590049,117803421,0,300000
248,C C C 7 (3),2.43574,2.1466,2.09936e-05,0.00670319,79.4291,5.63278,78.1947,5.9279,66.9105,6.56607,36.6203,9.39304,0.0,0.0,7775.2,5776.8,777.2,37.2, C C C X (3), 37 (3),300000,15754319,14862699,15754319,8225326,0,300000
249,R C C 5 (2),55.7494,1.97905,0.0285227,0.0675863,45.4954,1.98421,41.2624,2.03602,58.5216,1.96204,23.4469,2.29654,0.0,0.0,8773.3,3777.7,77.3,35.3, C C X X (2), 35 (2),300000,189088252,175461268,189088252,102453547,0,300000
250,S 7 7 7 (2),0.177048,0.586317,0.000164208,0.0183374,78.7611,5.70189,77.4866,5.99904,90.262,4.1255,83.7912,6.67096,0.0,0.0,6555.3,5555.7,555.3,31.3, 7 7 7 X (2), 31 (2),300000,15754826,14863013,15754826,9467180,0,300000
251,S S S S (3),0.219287,2.955,0.0,0.0,90.0161,18.9969,89.5025,19.8672,73.0972,28.0463,43.8646,40.0382,0.0,0.0,6666.2,6665.8,6666.2,40.2, S S S S (3), 40 (3),288831,984003,936112,984003,472095,0,300000
252,S 7 6 A (4),0.142715,0.091938,13.3117,0.829876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71362,1.17059,6541.1,1455.9,0.1,24.1, X X X X (4), 24 (4),300000,466255787,307121070,329276445,83683562,26140,300000
253,R S S 4 (1),26.9142,1.76681,0.551494,0.295406,38.6499,1.94101,33.8891,1.95711,53.9902,1.98798,16.6669,2.00322,0.0,0.0,8662.4,2667.6,66.4,34.4, S S X X (1), 34 (1),300000,189064641,175449450,189064641,104385876,0,300000
254,C S S 6 (2),2.09519,0.808579,0.00221671,0.0265325,34.5721,2.68282,30.2268,2.6758,62.859,2.72306,30.4425,3.55583,0.0,0.0,7664.3,4666.7,66.3,36.3, S S X X (2), 36 (2),300000,94548668,88660230,94548668,50485419,0,300000
255,C C S 5 (3),2.41865,0.865332,0.0409364,0.114208,37.5316,2.72885,33.3818,2.74701,57.3778,2.79649,21.3344,3.14934,0.0,0.0,7763.2,3676.8,77.2,35.2, C C X X (3), 35 (3),300000,94548934,88659371,94548934,51227498,0,300000
256,S S 7 6 (3),0.215915,0.261812,0.00679556,0.0464585,31.285,2.61301,26.7217,2.57557,43.3971,2.7933,1.55754,0.923103,0.0,0.0,6654.2,4565.8,66.2,33.2, S S X X (3), 33 (3),300000,94558247,88669632,94558247,54369639,0,300000
257,C S 7 4 (2),1.9422,0.476995,0.736054,0.294914,0.0,0.0,0.0,0.0,91.1723,0.978319,85.1565,1.59046,0.0,0.0,7652.3,2566.7,0.3,31.3, X X X X (2), 31 (2),300000,235671128,159982615,252110131,149933905,0,300000
258,S 7 6 5 (2),0.163894,0.13991,0.163525,0.139531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5038,2.66236,6543.3,3455.7,0.3,28.3, X X X X (2), 28 (2),300000,235673676,159977864,160184986,38612238,205511,300000
259,C 7 6 A (1),1.11474,0.256494,13.2229,0.826911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5323,1.32323,7541.4,1456.6,0.4,24.4, X X X X (1), 24 (1),300000,466221757,307094931,329267780,83674696,34596,300000
260,C C C C (4),2.41417,9.71241,0.0,0.0,91.6075,17.5283,91.1746,18.3424,72.4337,28.2552,42.4641,39.9638,0.0,0.0,7777.1,7776.9,7777.1,40.1, C C C C (4), 40 (4),288683,984727,936242,984727,471889,0,300000
261,C 6 6 6 (1),0.773294,1.22303,0.00959496,0.136129,78.2214,5.75066,76.914,6.04984,0.0,0.0,0.0,0.0,76.9743,9.94962,7444.4,4446.6,444.4,28.4, 6 6 6 X (1), 28 (1),300000,15767562,14874638,10083581,2461210,230922,300000
262,R S S 6 (2),27.0243,1.76942,0.00210016,0.0182729,38.2509,1.9401,33.4576,1.95766,62.8511,1.92411,30.4371,2.50925,0.0,0.0,8664.3,4667.7,66.3,36.3, S S X X (2), 36 (2),300000,189081845,175461834,189081845,100976005,0,300000
263,R R R S (4),99.6178,0.227234,0.0,0.0,88.3846,1.18073,87.2239,1.2903,72.4422,1.64455,42.4805,2.63268,0.0,0.0,8886.1,6887.9,888.1,40.1, R R R X (4), 40 (4),300000,220600074,200558721,220600074,105690904,0,300000
264,R C C 7 (3),55.9268,1.98122,5.77696e-06,0.000954563,45.0365,1.98381,40.7701,2.03515,66.8918,1.87328,36.5967,2.65849,0.0,0.0,8775.2,5777.8,77.2,37.2, C C X X (3), 37 (3),300000,189097706,175476787,189097706,98744391,0,300000
265,C S S S (3),2.1041,2.00068,0.0,0.0,79.2899,5.63902,78.0485,5.93317,73.1927,6.16133,44.0331,10.0922,0.0,0.0,7666.2,6666.8,666.2,40.2, S S S X (3), 40 (3),300000,15764407,14872781,15764407,7550865,0,300000
266,C 7 7 7 (2),1.20903,1.52234,0.000190958,0.0186469,78.7696,5.68712,77.4956,5.98136,90.258,4.13812,83.7856,6.68465,0.0,0.0,7555.3,5556.7,555.3,31.3, 7 7 7 X (2), 31 (2),300000,15752273,14860370,15752273,9465491,0,300000
267,R R C 4 (3),92.5687,0.684371,0.431529,0.171127,61.1495,1.27132,57.5784,1.34674,50.691,1.3028,10.6885,1.08452,0.0,0.0,8872.2,2787.8,88.2,34.2, R R X X (3), 34 (3),300000,441198568,404057561,441198568,243586223,0,300000
268,C 4 4 4 (2),0.453413,0.936169,2.435,2.15366,77.1605,5.85772,75.7902,6.15919,0.0,0.0,0.0,0.0,3.67208,4.82172,7222.3,2226.7,222.3,22.3, 4 4 4 X (2), 22 (2),300000,15757116,14865330,10887714,3092554,11016,300000
269,R C S A (2),49.7705,0.862089,5.39003,0.389658,0.0,0.0,0.0,0.0,92.2758,0.459871,86.2624,0.79113,0.0,0.0,8761.3,1677.7,0.3,31.3, X X X X (2), 31 (2),300000,921104736,588090383,1008430045,567010245,0,300000
270,C A A A (1),0.420093,0.238303,98.9568,0.375092,79.5098,1.48607,77.4621,1.61356,0.0,0.0,0.0,0.0,1.47493e-06,0.000807849,7111.4,1116.6,111.4,13.4, A A A X (1), 13 (1),300000,220618175,200574363,159292795,49569017,0,300000
271,C 5 5 5 (3),0.555584,1.03448,0.215348,0.644945,77.676,5.80471,76.3353,6.10348,0.0,0.0,0.0,0.0,16.8431,9.09862,7333.2,3336.8,333.2,25.2, 5 5 5 X (3), 25 (3),300000,15760706,14867804,10358345,2663382,50529,300000
272,C 6 6 6 (4),0.773955,1.22154,0.0101638,0.140384,78.2033,5.78166,76.895,6.08076,0.0,0.0,0.0,0.0,50.0531,11.8254,7444.1,4446.9,444.1,28.1, 6 6 6 X (4), 28 (4),300000,15754353,14862082,10077009,2458354,150159,300000
273,R 5 5 A (2),5.71044,0.653031,26.8134,1.24756,22.2899,1.17422,15.2622,1.05981,0.0,0.0,0.0,0.0,1.24944,0.554789,8331.3,1337.7,33.3,21.3, 5 5 X X (2), 21 (2),300000,378166028,346802913,257071347,70703056,3748,300000
274,R 7 7 5 (4),14.1496,1.39137,0.0795159,0.112217,31.1782,1.84538,25.8358,1.81059,0.0,0.0,0.0,0.0,74.9088,2.81735,8553.1,3557.9,55.1,29.1, 7 7 X X (4), 29 (4),300000,189087294,175466719,117756635,27307846,224726,300000
275,R 6 6 4 (3),8.36041,1.10531,1.20206,0.435283,26.0256,1.74546,20.2848,1.66272,0.0,0.0,0.0,0.0,27.8383,3.0482,8442.2,2447.8,44.2,26.2, 6 6 X X (3), 26 (3),300000,189053255,175438211,123698595,31556441,83514,300000
276,C 7 A A (1),0.884825,0.244285,75.2778,1.12275,14.8805,0.927822,7.05567,0.697341,0.0,0.0,0.0,0.0,0.261566,0.236235,7511.4,1156.6,11.4,19.4, A A X X (1), 19 (1),300000,441182046,404039803,300616728,83053117,784,300000
277,R C 5 A (2),36.46,0.829886,17.8493,0.662276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4102,1.28103,8731.3,1377.7,0.3,26.3, X X X X (2), 26 (2),300000,921107631,588081209,628483859,146463584,88230,300000
278,C S 4 4 (2),1.49965,0.685569,2.34357,0.85343,17.2041,2.12324,11.7059,1.87118,0.0,0.0,0.0,0.0,69.4712,4.24893,7622.3,2266.7,22.3,28.3, 4 4 X X (2), 28 (2),300000,94538877,88651775,58922708,13729775,208413,300000
279,C 6 6 4 (2),0.769393,0.493208,1.2083,0.615974,23.5953,2.39518,18.5221,2.26556,0.0,0.0,0.0,0.0,33.0584,4.53488,7442.3,2446.7,44.3,26.3, 6 6 X X (2), 26 (2),300000,94542778,88656349,61856159,15783158,99175,300000
280,R 7 7 A (2),14.0748,0.978919,8.32621,0.77894,33.0178,1.32606,26.96,1.30602,0.0,0.0,0.0,0.0,17.7776,1.79602,8551.3,1557.7,55.3,25.3, 7 7 X X (2), 25 (2),300000,378177312,346811378,242381994,59393072,53332,300000
281,C 7 7 5 (3),1.20931,0.616491,0.0806393,0.16035,28.3729,2.53898,23.616,2.47178,0.0,0.0,0.0,0.0,78.1283,3.79897,7553.2,3556.8,55.2,29.2, 7 7 X X (3), 29 (3),300000,94544610,88656627,58885486,13654549,234385,300000
282,C 5 5 A (1),0.551805,0.295186,26.9129,1.76399,20.1494,1.60126,13.9513,1.43805,0.0,0.0,0.0,0.0,1.56193,0.874036,7331.4,1336.6,33.4,21.4, 5 5 X X (1), 21 (1),300000,189094081,175473987,128537562,35357340,4685,300000
283,C S S 6 (4),2.09245,0.805953,0.00220458,0.0264702,33.8264,2.66745,29.4327,2.65524,60.5165,2.7592,26.0637,3.39577,0.0,0.0,7664.1,4666.9,66.1,36.1, S S X X (4), 36 (4),300000,94542286,88655831,94542286,50487737,0,300000
284,S 7 7 7 (4),0.17491,0.58227,0.000123706,0.0153047,78.7716,5.68072,77.498,5.97734,73.1758,6.16669,55.3638,8.99306,0.0,0.0,6555.1,5555.9,555.1,31.1, 7 7 7 X (4), 31 (4),300000,15756205,14864532,15756205,9469457,0,300000
285,S 6 6 6 (3),0.0802411,0.395323,0.0100941,0.140039,78.2123,5.7481,76.9027,6.04525,0.0,0.0,0.0,0.0,58.0752,11.7085,6444.2,4445.8,444.2,28.2, 6 6 6 X (3), 28 (3),300000,15754317,14860913,10079404,2459309,174225,300000
286,S 4 4 4 (1),0.0291798,0.237271,2.43167,2.14174,77.1316,5.85523,75.7577,6.15708,0.0,0.0,0.0,0.0,5.61671,5.92494,6222.4,2225.6,222.4,22.4, 4 4 4 X (1), 22 (1),300000,15761825,14868657,10888863,3093755,16850,300000
287,R C C 5 (4),55.6955,1.97594,0.028547,0.0674093,44.5702,1.98108,40.2704,2.03166,56.2445,1.97664,19.2431,2.13641,0.0,0.0,8773.1,3777.9,77.1,35.1, C C X X (4), 35 (4),300000,189078152,175466835,189078152,102445872,0,300000
288,S 5 5 5 (2),0.0435035,0.290634,0.215838,0.645861,77.6944,5.80154,76.3553,6.10173,0.0,0.0,0.0,0.0,20.9476,9.87455,6333.3,3335.7,333.3,25.3, 5 5 5 X (2), 25 (2),300000,15762267,14869924,10358950,2665693,62842,300000
289,R S S 4 (3),26.8817,1.7672,0.550098,0.294792,37.8422,1.93328,33.0177,1.94766,50.6886,1.99333,10.6843,1.66007,0.0,0.0,8662.2,2667.8,66.2,34.2, S S X X (3), 34 (3),300000,189112930,175491762,189112930,104409975,0,300000
290,S 6 6 A (1),0.0805781,0.113098,14.1794,1.38894,24.7447,1.7227,18.9013,1.62204,0.0,0.0,0.0,0.0,8.64628,1.9432,6441.4,1445.6,44.4,23.4, 6 6 X X (1), 23 (1),300000,189081765,175458036,125886785,33222500,25938,300000
291,C S S A (2),2.08221,0.569333,5.74443,0.925251,35.8481,1.90845,30.8711,1.90788,92.2749,1.06517,86.2615,1.83272,0.0,0.0,7661.3,1666.7,66.3,31.3, S S X X (2), 31 (2),300000,189075031,175462499,189075031,106315514,0,300000
292,R R R A (3),98.5146,0.315388,4.16438,0.520844,89.5998,0.796196,88.3944,0.882917,85.0689,0.930676,73.4442,1.53848,0.0,0.0,8881.2,1887.8,888.2,31.2, R R R X (3), 31 (3),300000,441199610,395374796,441199610,248067238,0,300000
293,7 7 7 6 (3),0.00987032,0.138298,0.00768321,0.122285,78.3539,5.72856,77.0524,6.02588,0.0,0.0,0.0,0.0,47.3358,11.9541,5554.2,4554.8,555.2,27.2, 7 7 7 X (3), 27 (3),300000,15760039,14866293,10235453,2556558,142007,300000
294,S S S 5 (3),0.215949,0.647151,0.0437946,0.29243,78.8789,5.67384,77.6128,5.96918,57.3843,6.89682,21.3456,7.83773,0.0,0.0,6663.2,3665.8,666.2,35.2, S S S X (3), 35 (3),300000,15755362,14864030,15755362,8536210,0,300000
295,S 7 7 4 (2),0.174957,0.235988,0.771482,0.493422,28.6935,2.55928,23.9603,2.49347,0.0,0.0,0.0,0.0,69.6994,4.30142,6552.3,2555.7,55.3,28.3, 7 7 X X (2), 28 (2),300000,94544355,88659234,60026637,14455055,209098,300000
296,C C C 4 (3),2.43496,2.15117,0.454582,0.940107,79.4324,5.62765,78.198,5.92436,50.6993,6.95844,10.6657,5.83578,0.0,0.0,7772.2,2776.8,777.2,34.2, C C C X (3), 34 (3),300000,15759814,14867517,15759814,8697383,0,300000
297,C 6 6 5 (2),0.771504,0.493148,0.174727,0.235753,23.6034,2.39266,18.5296,2.25794,0.0,0.0,0.0,0.0,46.4819,4.75595,7443.3,3446.7,44.3,27.3, 6 6 X X (2), 27 (2),300000,94546814,88658344,61317840,15367772,139445,300000
298,R 6 6 A (1),8.34355,0.780253,14.1,0.982892,27.5729,1.26134,21.0242,1.2004,0.0,0.0,0.0,0.0,8.64534,1.3728,8441.4,1447.6,44.4,23.4, 6 6 X X (1), 23 (1),300000,378178154,346819562,251798376,66429078,25936,300000
299,R 7 7 4 (2),14.1283,1.39147,0.766259,0.347929,31.8847,1.86388,26.5958,1.83216,0.0,0.0,0.0,0.0,69.6973,3.0379,8552.3,2557.7,55.3,28.3, 7 7 X X (2), 28 (2),300000,189078964,175455187,120042314,28894075,209091,300000
300,C S S 7 (4),2.09699,0.809643,0.000107573,0.00584003,33.8163,2.67079,29.4218,2.66033,65.696,2.67567,34.2996,3.71386,0.0,0.0,7665.1,5666.9,66.1,37.1, S S X X (4), 37 (4),300000,94539851,88653532,94539851,49362341,0,300000
301,R S S 5 (3),26.9448,1.76466,0.0427297,0.0823466,37.8478,1.93438,33.0207,1.9486,57.3853,1.96806,21.3475,2.22064,0.0,0.0,8663.2,3667.8,66.2,35.2, S S X X (3), 35 (3),300000,189064263,175438860,189064263,102437499,0,300000
302,R C C 6 (4),55.8052,1.97685,0.000832082,0.0114809,44.5755,1.98291,40.2724,2.02975,60.5157,1.94625,26.0598,2.3951,0.0,0.0,8774.1,4777.9,77.1,36.1, C C X X (4), 36 (4),300000,189094784,175471349,189094784,100976996,0,300000
303,R 5 5 5 (3),5.75062,2.28475,0.214769,0.453989,80.6788,3.87094,79.3192,4.11071,0.0,0.0,0.0,0.0,16.8429,6.33106,8333.2,3337.8,333.2,25.2, 5 5 5 X (3), 25 (3),300000,31513627,29442104,20707567,5326262,50528,300000
304,R 6 6 6 (4),8.41144,2.72646,0.0101229,0.0984758,81.2274,3.83083,79.9072,4.06866,0.0,0.0,0.0,0.0,50.0215,8.23917,8444.1,4447.9,444.1,28.1, 6 6 6 X (4), 28 (4),300000,31505398,29435348,20152455,4914975,150064,300000
305,R A A A (1),4.19944,0.523487,98.7517,0.289649,82.3199,0.995979,80.2708,1.09765,0.0,0.0,0.0,0.0,3.24877e-06,0.000890589,8111.4,1117.6,111.4,13.4, A A A X (1), 13 (1),300000,441186432,395363066,318551123,99148334,0,300000
306,R 4 4 4 (2),4.59214,2.05227,2.423,1.50523,80.137,3.91259,78.742,4.1524,0.0,0.0,0.0,0.0,3.67045,3.35849,8222.3,2227.7,222.3,22.3, 4 4 4 X (2), 22 (2),300000,31519716,29451444,21776818,6178124,11011,300000
307,C C 7 7 (2),2.39596,1.4114,0.000154179,0.011428,92.0647,2.49835,91.5634,2.64966,49.8209,4.61589,10.8729,3.85693,0.0,0.0,7755.3,5576.7,7755.3,34.3, C C 7 7 (2), 34 (2),300000,35445137,33339240,35445137,19956074,0,300000
308,R R S 6 (2),87.3101,0.868668,0.00124786,0.00920919,68.7784,1.20827,65.9085,1.2914,62.8499,1.26002,30.4351,1.64009,0.0,0.0,8864.3,4687.7,88.3,36.3, R R X X (2), 36 (2),300000,441195155,404054174,441195155,235613752,0,300000
309,C S 6 6 (1),1.79734,0.749843,0.00974966,0.055749,26.2568,2.48413,21.3638,2.3925,75.6954,2.4169,58.6449,3.62198,0.0,0.0,7644.4,4466.6,44.4,32.4, 6 6 X X (1), 32 (1),300000,94547006,88664123,94547006,55565541,0,300000
310,S 6 4 4 (1),0.06315,0.141459,2.39475,0.862787,17.4228,2.14229,11.9417,1.89107,0.0,0.0,0.0,0.0,13.4651,3.37697,6422.4,2245.6,22.4,24.4, 4 4 X X (1), 24 (1),300000,94525224,88641630,63473775,17033163,40395,300000
311,C 7 5 A (1),1.00841,0.243187,21.9677,1.00971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26208,1.15425,7531.4,1356.6,0.4,23.4, X X X X (1), 23 (1),300000,466204618,307074215,333612177,86998745,24786,300000
312,R R S 4 (3),85.3437,0.921848,0.478824,0.179892,61.1508,1.27135,57.5806,1.3472,50.6929,1.3037,10.6889,1.08544,0.0,0.0,8862.2,2687.8,88.2,34.2, R R X X (3), 34 (3),300000,441219145,404084571,441219145,243589305,0,300000
313,S S 6 6 (3),0.211656,0.424407,0.00942722,0.0897252,90.6905,2.6878,90.1025,2.84917,71.3311,4.17447,51.2276,6.03905,0.0,0.0,6644.2,4465.8,6644.2,32.2, S S 6 6 (3), 32 (3),300000,35443868,33338430,35443868,20834814,0,300000
314,S 7 5 5 (2),0.136575,0.208103,0.210582,0.25882,21.2392,2.30961,16.0112,2.14003,0.0,0.0,0.0,0.0,47.0597,4.71938,6533.3,3355.7,33.3,27.3, 5 5 X X (2), 27 (2),300000,94544711,88659407,60630686,14871031,141179,300000
315,C C 7 5 (3),2.38869,0.861243,0.062353,0.140845,37.539,2.73487,33.3909,2.7556,72.0,2.53672,52.015,3.69903,0.0,0.0,7753.2,3576.8,77.2,32.2, C C X X (3), 32 (3),300000,94553592,88665735,94553592,55173148,0,300000
316,R C 7 A (2),43.9955,0.857881,6.91853,0.437738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.3374,1.3035,8751.3,1577.7,0.3,28.3, X X X X (2), 28 (2),300000,921093671,588102238,608136994,133343696,196012,300000
317,C S 6 4 (2),1.74841,0.453504,1.02781,0.348681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9228,1.08662,7642.3,2466.7,0.3,30.3, X X X X (2), 30 (2),300000,235674721,159982404,152343187,33541033,287768,300000
318,4 4 4 A (3),0.0,0.0,56.0777,4.86655,77.6381,4.0857,76.0646,4.33144,0.0,0.0,0.0,0.0,0.0,0.0,2221.2,1221.8,222.2,13.2, 4 4 4 X (3), 13 (3),300000,31514478,29443317,24056222,8433520,0,300000
319,C S 7 7 (2),2.02993,0.796006,0.000161501,0.0071604,31.4147,2.61728,26.8606,2.57922,49.8244,2.82195,10.8773,2.34381,0.0,0.0,7655.3,5566.7,55.3,34.3, 7 7 X X (2), 34 (2),300000,94540621,88653811,94540621,53226188,0,300000
320,R C S 6 (2),52.7289,1.21909,0.00178974,0.0103296,0.0,0.0,0.0,0.0,62.854,1.1813,30.4369,1.539,0.0,0.0,8764.3,4677.7,0.3,36.3, X X X X (2), 36 (2),300000,466229656,307112089,504211254,269243422,0,300000
321,R R C 7 (3),95.2786,0.553655,4.0868e-06,0.000527734,61.1456,1.26825,57.5755,1.34445,66.8977,1.22545,36.6079,1.73857,0.0,0.0,8875.2,5787.8,88.2,37.2, R R X X (3), 37 (3),300000,441183190,404056131,441183190,230378635,0,300000
322,C 7 6 6 (1),1.17176,0.607754,0.00993607,0.0561144,26.2618,2.48676,21.3659,2.39427,0.0,0.0,0.0,0.0,88.3644,2.96541,7544.4,4456.6,44.4,29.4, 6 6 X X (1), 29 (1),300000,94548311,88661589,59221567,13877214,265093,300000
323,C C S S (3),2.43153,1.42659,0.0,0.0,92.0892,2.49152,91.5894,2.64283,73.1862,4.10247,44.0463,6.66762,0.0,0.0,7766.2,6676.8,7766.2,40.2, C C S S (3), 40 (3),300000,35454068,33347128,35454068,16989610,0,300000
324,R 7 4 A (1),10.5422,0.53011,40.0743,0.844772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38214,0.680385,8521.4,1257.6,0.4,22.4, X X X X (1), 22 (1),300000,921081140,588086981,678681962,183017676,16146,300000
325,R S 5 4 (2),19.7956,0.973333,1.56494,0.303168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2229,1.42722,8632.3,2367.7,0.3,29.3, X X X X (2), 29 (2),300000,466204682,307099609,308810774,69668040,252668,300000
326,5 4 A A (3),0.0,0.0,96.1862,0.498658,10.3376,0.793657,2.09724,0.390501,0.0,0.0,0.0,0.0,0.0,0.0,3211.2,1122.8,11.2,11.2, A A X X (3), 11 (3),300000,441215891,404079298,336778443,118140327,0,300000
327,C 7 7 4 (4),1.20918,0.615899,0.768979,0.49292,28.0516,2.53636,23.2743,2.46133,0.0,0.0,0.0,0.0,59.5037,4.59616,7552.1,2556.9,55.1,28.1, 7 7 X X (4), 28 (4),300000,94544017,88657083,60022487,14447667,178511,300000
328,S 4 4 A (2),0.0287387,0.0674542,55.7502,1.98142,16.0233,1.463,9.50111,1.21278,0.0,0.0,0.0,0.0,0.281928,0.387286,6221.3,1225.7,22.3,19.3, 4 4 X X (2), 19 (2),300000,189065790,175439841,132613240,38845491,845,300000
329,S 6 6 5 (4),0.0811688,0.160981,0.17515,0.235557,23.0354,2.37198,17.9282,2.2368,0.0,0.0,0.0,0.0,39.1649,4.66127,6443.1,3445.9,44.1,27.1, 6 6 X X (4), 27 (4),300000,94526737,88644674,61302416,15368404,117494,300000
330,S 5 5 4 (3),0.0428406,0.116976,2.09176,0.806273,18.9691,2.2086,13.5894,1.99437,0.0,0.0,0.0,0.0,10.5183,3.01316,6332.2,2335.8,33.2,24.2, 5 5 X X (3), 24 (3),300000,94526306,88641283,63198895,16822901,31554,300000
331,R S S A (4),26.7472,1.24804,5.68393,0.653082,38.7918,1.37328,33.2546,1.38802,78.3469,1.16253,61.489,1.83084,0.0,0.0,8661.1,1667.9,66.1,31.1, S S X X (4), 31 (4),300000,378172395,346799483,378172395,212630425,0,300000
332,7 6 6 4 (3),0.00741518,0.0485455,1.21127,0.616495,23.3147,2.38625,18.2205,2.25209,0.0,0.0,0.0,0.0,8.01032,2.7668,5442.2,2444.8,44.2,23.2, 6 6 X X (3), 23 (3),300000,94546304,88656939,65374213,18560891,24030,300000
333,7 7 7 5 (4),0.0102109,0.140776,0.0807661,0.395365,78.3589,5.73336,77.0581,6.03355,0.0,0.0,0.0,0.0,24.6904,10.5175,5553.1,3554.9,555.1,26.1, 7 7 7 X (4), 26 (4),300000,15760540,14867690,10389939,2677027,74071,300000
334,C C C A (4),2.42791,1.50858,4.60238,2.05099,80.3232,3.89945,78.9383,4.14018,78.3443,4.04388,61.4805,6.40155,0.0,0.0,7771.1,1776.9,777.1,31.1, C C C X (4), 31 (4),300000,31515358,29443293,31515358,17718443,0,300000
335,6 5 5 5 (3),4.87655e-05,0.00894856,0.215727,0.647768,77.6876,5.79341,76.3468,6.0966,0.0,0.0,0.0,0.0,1.20643,2.89949,4333.2,3333.8,333.2,21.2, 5 5 5 X (3), 21 (3),300000,15760991,14868450,11156947,3323860,3619,300000
336,S 7 7 A (3),0.173753,0.165918,8.39303,1.10508,29.4088,1.81525,23.9296,1.76334,0.0,0.0,0.0,0.0,14.4978,2.34225,6551.2,1555.8,55.2,25.2, 7 7 X X (3), 25 (3),300000,189076344,175457562,121186610,29698809,43493,300000
337,S S S 4 (4),0.217566,0.648849,0.55533,1.03581,78.8782,5.69286,77.6063,5.99092,49.0808,6.97178,7.77614,5.06982,0.0,0.0,6662.1,2665.9,666.1,34.1, S S S X (4), 34 (4),300000,15756384,14861860,15756384,8699520,0,300000
338,6 6 6 6 (4),0.0,0.0,0.00974085,0.587901,87.6372,20.8152,86.9922,21.7575,0.0,0.0,0.0,0.0,11.1726,27.4656,4444.1,4443.9,4444.1,24.1, 6 6 6 6 (4), 24 (4),288863,984060,935424,678418,190082,21422,300000
339,6 A A A (1),1.33336e-06,0.000421742,99.567,0.241922,79.5081,1.49161,77.4598,1.6198,0.0,0.0,0.0,0.0,0.0,0.0,4111.4,1113.6,111.4,9.4, A A A X (1), 9 (1),300000,220573500,200529826,168935020,59712943,0,300000
340,C 6 A A (3),0.601511,0.201424,79.4703,1.05371,10.3409,0.792578,2.09819,0.389448,0.0,0.0,0.0,0.0,0.0494542,0.104677,7411.2,1146.8,11.2,18.2, A A X X (3), 18 (3),300000,441185523,404040553,305921106,87555626,148,300000
