,Pares_repr,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Pares_value
160, R R R R (1),100.0,0.0,100.0,0.0,8888.4
161, R R R R (2),99.9984,0.0266472,99.9982,0.0294269,8888.3
162, R R R R (3),99.9966,0.0386371,99.9962,0.0426766,8888.2
163, R R R R (4),99.9949,0.047075,99.9944,0.052026,8888.1
156, R R C C (1),99.9236,0.11768,99.9169,0.127984,8877.4
157, R R C C (2),99.8986,0.135786,99.8898,0.147675,8877.3
158, R R C C (3),99.8726,0.152353,99.8614,0.165712,8877.2
159, R R C C (4),99.8477,0.166283,99.8343,0.18087,8877.1
168, R R S S (1),99.4653,0.31038,99.4184,0.337525,8866.4
169, R R S S (2),99.4399,0.318541,99.3907,0.346413,8866.3
170, R R S S (3),99.4144,0.325409,99.3631,0.353877,8866.2
171, R R S S (4),99.3893,0.332385,99.3357,0.361507,8866.1
148, R R 7 7 (1),99.0079,0.422898,98.921,0.459781,8855.4
149, R R 7 7 (2),98.982,0.428269,98.8927,0.46559,8855.3
150, R R 7 7 (3),98.9562,0.433613,98.8647,0.471438,8855.2
151, R R 7 7 (4),98.9322,0.437868,98.8386,0.4761,8855.1
144, R R 6 6 (1),98.5536,0.510407,98.4268,0.554887,8844.4
145, R R 6 6 (2),98.5258,0.513443,98.3965,0.558158,8844.3
146, R R 6 6 (3),98.5002,0.518249,98.3686,0.563367,8844.2
147, R R 6 6 (4),98.4752,0.522031,98.3416,0.567463,8844.1
140, R R 5 5 (1),98.0954,0.581747,97.9285,0.632222,8833.4
141, R R 5 5 (2),98.0702,0.585403,97.9011,0.636246,8833.3
142, R R 5 5 (3),98.0453,0.590918,97.8739,0.642336,8833.2
143, R R 5 5 (4),98.0222,0.592124,97.8488,0.643575,8833.1
136, R R 4 4 (1),97.6405,0.646289,97.4336,0.702174,8822.4
137, R R 4 4 (2),97.6145,0.650164,97.4054,0.706464,8822.3
138, R R 4 4 (3),97.5897,0.653059,97.3784,0.709587,8822.2
139, R R 4 4 (4),97.5642,0.657243,97.3506,0.714229,8822.1
152, R R A A (1),97.1886,0.325152,96.8514,0.363446,8811.4
153, R R A A (2),96.8099,0.346343,96.4272,0.387141,8811.3
154, R R A A (3),96.433,0.364933,96.0052,0.407781,8811.2
155, R R A A (4),96.0571,0.383966,95.5841,0.429015,8811.1
120, C C C C (1),91.5929,17.5341,91.1667,18.3294,7777.4
121, C C C C (2),91.6007,17.5155,91.1682,18.3212,7777.3
122, C C C C (3),91.5047,17.6363,91.0706,18.4297,7777.2
123, C C C C (4),91.6075,17.5283,91.1746,18.3424,7777.1
128, C C S S (1),92.0906,2.49753,91.5903,2.64889,7766.4
129, C C S S (2),92.0908,2.49628,91.5907,2.64761,7766.3
130, C C S S (3),92.0892,2.49152,91.5894,2.64283,7766.2
131, C C S S (4),92.0967,2.48919,91.5979,2.63949,7766.1
112, C C 7 7 (1),92.0739,2.49588,91.5731,2.64756,7755.4
113, C C 7 7 (2),92.0647,2.49835,91.5634,2.64966,7755.3
114, C C 7 7 (3),92.0599,2.49676,91.5592,2.64738,7755.2
115, C C 7 7 (4),92.0573,2.49988,91.5558,2.65158,7755.1
108, C C 6 6 (1),92.0282,2.50008,91.5241,2.65145,7744.4
109, C C 6 6 (2),92.0373,2.49535,91.5344,2.64548,7744.3
110, C C 6 6 (3),92.0247,2.50808,91.5213,2.65891,7744.2
111, C C 6 6 (4),92.0251,2.5119,91.5208,2.66319,7744.1
104, C C 5 5 (1),92.0114,2.50548,91.5065,2.6572,7733.4
105, C C 5 5 (2),92.0089,2.50357,91.5036,2.65556,7733.3
106, C C 5 5 (3),92.0053,2.50018,91.5004,2.65168,7733.2
107, C C 5 5 (4),92.0,2.50549,91.4946,2.65801,7733.1
100, C C 4 4 (1),91.9857,2.5114,91.4791,2.66309,7722.4
101, C C 4 4 (2),91.9819,2.51555,91.475,2.66825,7722.3
102, C C 4 4 (3),91.9831,2.50726,91.4766,2.65966,7722.2
103, C C 4 4 (4),91.9722,2.51297,91.4651,2.66465,7722.1
116, C C A A (1),93.0556,1.08437,92.447,1.17548,7711.4
117, C C A A (2),93.029,1.08378,92.418,1.17499,7711.3
118, C C A A (3),93.0037,1.08675,92.3906,1.17838,7711.2
119, C C A A (4),92.9829,1.08713,92.3678,1.1785,7711.1
196, S S S S (1),90.0803,18.9322,89.5736,19.7883,6666.4
197, S S S S (2),90.0828,18.8614,89.583,19.6918,6666.3
198, S S S S (3),90.0161,18.9969,89.5025,19.8672,6666.2
199, S S S S (4),90.0685,18.8987,89.5484,19.7859,6666.1
188, S S 7 7 (1),90.7153,2.68344,90.1287,2.84409,6655.4
189, S S 7 7 (2),90.7158,2.68538,90.129,2.84646,6655.3
190, S S 7 7 (3),90.719,2.67811,90.1323,2.83914,6655.2
191, S S 7 7 (4),90.7051,2.68187,90.1188,2.84167,6655.1
184, S S 6 6 (1),90.6847,2.6769,90.0964,2.83754,6644.4
185, S S 6 6 (2),90.6968,2.68101,90.1096,2.84135,6644.3
186, S S 6 6 (3),90.6905,2.6878,90.1025,2.84917,6644.2
187, S S 6 6 (4),90.6911,2.68205,90.1032,2.84295,6644.1
180, S S 5 5 (1),90.6623,2.68784,90.072,2.84873,6633.4
181, S S 5 5 (2),90.6694,2.69041,90.0803,2.85126,6633.3
182, S S 5 5 (3),90.6567,2.69558,90.0672,2.8573,6633.2
183, S S 5 5 (4),90.6612,2.68668,90.0709,2.84813,6633.1
176, S S 4 4 (1),90.6427,2.68375,90.0516,2.8444,6622.4
177, S S 4 4 (2),90.6394,2.68975,90.0486,2.85045,6622.3
178, S S 4 4 (3),90.6337,2.69287,90.0426,2.85414,6622.2
179, S S 4 4 (4),90.6239,2.69369,90.0316,2.85484,6622.1
192, S S A A (1),91.9252,1.16167,91.2169,1.2591,6611.4
193, S S A A (2),91.9065,1.16309,91.1968,1.26044,6611.3
194, S S A A (3),91.8819,1.16243,91.1703,1.25929,6611.2
195, S S A A (4),91.8563,1.16735,91.1423,1.26493,6611.1
72, 7 7 7 7 (1),88.7616,19.932,88.1887,20.8188,5555.4
73, 7 7 7 7 (2),88.7695,19.9977,88.188,20.8993,5555.3
74, 7 7 7 7 (3),88.7564,19.969,88.1736,20.8877,5555.2
75, 7 7 7 7 (4),88.7605,19.9845,88.1786,20.896,5555.1
68, 7 7 6 6 (1),89.5264,2.83725,88.8645,3.00699,5544.4
69, 7 7 6 6 (2),89.5213,2.8319,88.8593,3.0005,5544.3
70, 7 7 6 6 (3),89.5215,2.83196,88.8608,2.99996,5544.2
71, 7 7 6 6 (4),89.5352,2.82635,88.8742,2.99404,5544.1
64, 7 7 5 5 (1),89.4974,2.83501,88.8339,3.00316,5533.4
65, 7 7 5 5 (2),89.484,2.83191,88.8188,3.0006,5533.3
66, 7 7 5 5 (3),89.4989,2.83571,88.8357,3.00521,5533.2
67, 7 7 5 5 (4),89.4909,2.83911,88.8265,3.00748,5533.1
60, 7 7 4 4 (1),89.4703,2.83931,88.8053,3.00801,5522.4
61, 7 7 4 4 (2),89.473,2.83157,88.8075,2.99988,5522.3
62, 7 7 4 4 (3),89.4704,2.83622,88.8048,3.0048,5522.2
